title,tag,artist,year,views,features,lyrics,id,language_cld3,language_ft,language
Relax,rap,Rich Amiri,2022,10,{},"[Intro]
Keep it up, Sharkboy

[Chorus]
I gotta battle my woes, I don't got time for these hoes
I leave that bitch in the O, uh, she gonna give up her throat
Talk about bullshit whenever she hittin' my phone, I sent that bitch to the wall
I made a lil' quarter milli', I didn't even know, I couldn't picture me broke
I know they tryna get rid of me, uh, steady be tryna belittle me
Said I ain't love you, I meant that shit literally, yeah
Most of these niggas be killin' me
Said hе got money, he broke, arе you kidding me? Ayy
I don't think that lil' bitch feelin' me
Went too up, they plannin' on killin' me, yeah
You with me or not? Just riddle me that (Uh)

[Verse]
Toolie gon' hit him and go through his back (Back)
Leavin' him splat (Splat), totin' the GAT, then it's right back to the racks (Blatt, blatt)
Juggin' your sack, ask for it back, now that boy makin' me mad (Makin' me mad)
I'm finna fuck, not finna cuff, I know that bitch is a nat (Bitch is a nat)
.223 put him to sleep, just like he takin' a nap (Okay, let's go)
Brand new lease, got no keys, push it, I'm startin' the Jag' (I'm in that Jag')
Bro from the South and he a demon, I had to tell him relax (Tell him relax)
Runnin' his mouth, talkin' 'bout me, I put them boys on his ass (Okay, let's go)
[Bridge]
Yeah, I get the green, I count up my cash (Cash)
I do not need her, know she a nat
You want a feature? I'm in L.A (Uh)
I went to sleep to dream tabout racks
Lean by the liter, smokin' on 'thrax
He wanna chat, get turnt to a pack (Bow)

[Chorus]
I gotta battle my woes, I don't got time for these hoes
I leave that bitch in the O, uh, she gonna give up her throat
Talk about bullshit whenever she hittin' my phone, I sent that bitch to the wall
I made a lil' quarter milli', I didn't even know, I couldn't picture me broke
I know they tryna get rid of me, uh, steady be tryna belittle me
Said I ain't love you, I meant that shit literally, yeah
Most of these niggas be killin' me
Said he got money, he broke, are you kidding me?
I don't think that lil' bitch feelin' me
Went too up, they plannin' on killin' me, yeah
You with me or not? Just riddle me that (Yeah)

[Outro]
You with me or not? Just riddle me that
You with me or not? Just riddle me that
Ayy, yeah, okay, let's go",7861664,en,en,en
Extra,rap,Lil Calorie,2020,19,{},"I’m just an extra
Nobody text yeah
Leave me alone
I’m not special
I’m just an extra
I’m just an extra
I’m just an extra
I’m just an extra

Y’all only got one swoosh yeah I need two
Turn on the flash rainbow shining on my shoes
I can spot all your fakes yeah call me Nancy drew
Call me the CFO cuz I’m bout my revenue

Flex and it’s a GG baby
Never wear no gg baby
In the studio you pay me
Want a feature that’s a maybe

Please Leave me alone you’re crazy
How could someone ever date me
I don’t care if all you hate me
It’s high school and you’re all babies
I don’t care
My nightmare
Please don’t stare
Going nowhere
Just a spare
Another tear
I don’t care
I don’t care

I’m just an extra
Nobody text yeah
Leave me alone
I’m not special
I’m just an extra
I’m just an extra
I’m just an extra
I’m just an extra",5939567,en,en,en
The Most Fun,rap,Safaree,2015,1348,"{""Papi Chuloh""}","(Papi Chuloh)

[?]

Stuntgang

[?]

[Chorus] (Papi Chuloh)
That's when you havin' the most fun
Yeah, that's when you havin' the most fun
[?] man, whip it til you owe one
Ay, yeah, that's when you havin' the most fun yeah
Yeah, yeah, that's when you havin' the most fun
Whippin' the full and [?] tell em' [?] you one
Uh, that's when you havin' the most fun, yeah
Two bad bitches and you are the only one

[Safaree]
Straight
Bad man, run ting, yeah
Not some ting, all ting
Man, then pull up in a Slingshot
Then pop pop them gun shot
Then straight fire them [?] VS
Gimme they, gimme they, gimme they money
Yeah, [        ?       ], and go somewhere sunny
Yeah, we taking it serious, not [?] funny
Straight [      ?      ] and we boss up like dummy
Ha
[Chorus] (Papi Chuloh)
That's when you havin' the most fun
Yeah, that's when you havin' the most fun
[?] man, whip it til you owe one
Ay, yeah, that's when you havin' the most fun yeah
Yeah, yeah, that's when you havin' the most fun
Whippin' the full and [?] tell em' [?] you one
Uh, that's when you havin' the most fun, yeah
Two bad bitches and you are the only one

[Safaree]
Stunt nigga I'm A1
With Bentley nigga that's A1
My shotgun and we all for it
New number me don't call it
Not iMessage, not iCloud, not email, not a DM
Wanna reach me little bitch nigga?
Gotta hit PR [?]
Step on the clutch as I'm hittin' the gears
Notice speed limits so don't interfere
Hittin' my [?] and checkin for deer
And I'm swatting mosquitos, bug in her ear

[Chorus] (Papi Chuloh)
That's when you havin' the most fun
Yeah, that's when you havin' the most fun
[?] man, whip it til you owe one
Ay, yeah, that's when you havin' the most fun yeah
Yeah, yeah, that's when you havin' the most fun
Whippin' the full and [?] tell em' [?] you one
Uh, that's when you havin' the most fun, yeah
Two bad bitches and you are the only one
[Safaree]
Bad man, run ting
Bad man, run ting
Bad man, run ting",2278633,en,en,en
California,rap,Vanilla Taurus,2018,7,{},"[Chorus] x2

I-I-I-
Up in California
Taking in the flora
Enjoying this ocean view
I never wanna leave here
I just want time to stop
And for the albums to drop

[Verse 1]

We walking down Hollywood boulevard
They tear our fucking heart apart
Our dreams and mistakes
Become our dreams, but fake
How they away with it
Cause this whole business
Is corrupt as shit
Our entertainment industries
Really must not be too pleased
Oh wait, they don't give a fuck
Turn the other way
So the creeps can get away
Maybe even give em a fucking raise
But when they eyebrows start to raise
We turn the other way
[Chorus] x2

I-I-I
Up in California
Taking in the flora
Enjoying this ocean view
I never wanna leave here
I just want time to stop
And for the albums to drop

[Verse 2]

When everything is golden
Nobody will feel golden
Living like they gods
So we call em fucking odin
Boats were never rowing
Beats were always flowing
Homies found a place to be going
To find their passion
To follow their dreams
But you cannot dream, when your awake
Everybody just woke up
Models gonna throw up
Homie when you gonna grow up
I froze up
When I realized
That I've getting older
Used to be 7 years old
Now a 15 year old man
I only got one plan
Only got this one life
So I
Felt something was missing
So we started searching
The whole world started turning
My vision started blurring
By the time I came back
Everything was diffrent
Everything has changed man
So much shit was missing
So I went up on a mission
To re-fix the system
That we all call living
That clock just keeps on ticking
[Chorus] x2

I-I-I
Up in California
Taking in the flora
Enjoying this ocean view
I never wanna leave here
I just want time to stop
And for the albums to drop",5773234,en,en,en
Free Thinking,rap,ProduceKyro,2021,18,{XLoRacer},"[Intro]
(You, you, you, you)
(You, you, you, you)
(You, you, you)
(You, you, you, you)

[Verse 1: Kyro]
Uh, yeah
Time is money, so I try to get the timing
The rap game sunny, peep the sky, its just so blinding
They think you funny when you try to be the one thats rhyming
Its sweet like honey, when I die its gon' taste like the Ramen
Ramen that I used to eat on Tuesdays, fuck what you make
Climbing up the ladder, this is Doomsday, where the crew stay
Signs of pitty patter from the crusade, thats a touché
Lines of ""whats the matter"" from my roommate, nothing to say
As I wake up from my dream, this shit ain't what it seems
A song to take up on thе screen, then you should've just seen
The look that brought up on thе scene, man it wasn't so keen
It shook him up, the certain thing that it wasn't so clean
He was writing lyrics just to make the people hear it
Despite the fearing, it was too fake, didn't put sincere in
And thats the clearance, he's not the one that was made for steering
I fight the spirit, plus I steer it, man I mean this dearest
[Hook: Kyro]
Uh, peep the motion
Ayo, just peep the motion
Peep the motion, go ahead and go and keep the motion
Keep the motion
Ayo, just keep the motion
I know you scared but try to go ahead and keep the motion
Peep the motion
Ayo, just peep the motion
Peep the motion, go ahead and go and keep the motion
Keep the motion (Yeah)
Ayo, just keep the motion
I know you scared but try to go ahead and keep the motion (Yeah)

[Verse 2: XLoRacer]
Pause for a second as I get another weapon to kill these adolescents
And thats just with my deadly presence
I take a gamble on life with a pair of dice for paradise
And since its not making cents, its really hard to pay the price
And then I figured out that there's no second chances
I skipped out on heaven to chill where the devil dances
To only see that that demons that were haunting me was self inflicted pain that was given' to me mentally
So I, started to smoke it away
Thought it was a clear escape and kept telling myself that ""it's okay""
But as these blunts keep getting rolled up
I keep getting shortness of breath and my words get choked up
I might as well not put myself through this abysmal hell
The only thing I want in life is to prevail
To tell my grandchildren all of my greatest tails
About this young hero who achieved his own holy grail
[Hook: XLoRacer]
Keep the motion, yeah, just keep the motion
Keep the motion, yeah, just keep the motion
You peep the motion?
Yeah, just keep the motion
Yeah, yeah, just keep the motion
Yeah, yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah",7404219,en,en,en
That Bird,rap,Young Mugz,2016,46,{},"[Mugz]
Go head go head go head and jump
Just know there's no net at the bottom,this ain't a stunt
You get more than a bump tryna front on my progress
Im high but not too high to not see the devil in a blue dress
With a pig face and silver badge assassinating
Like Jason Statham hit men killing brown men congratulations
You transformed to a game and played yourself
Tried to put a dome on my dome but I passed yo shelf
Read this book don't judge by the cover
I'm dangerous cause my mind is lethal like Danny glover
And I suffer from rebelling corrupted authority
They mad cause unlike the majority I refuse conformity
And I won't see defeat, victory is kicking up yo feet
Looking down a thousand feet at the ants on the street
I promote change but not the type to act strange
Change to better yourself and do better things

[Hook]
I fall but not too far down
Get up, i gotta swim or I'll drown
That bird wan sing, Mugz baby you're king
That bird wan ring, Mugz don't take the rope and hang
Yourself, too smart, safe guard your heart
Safe guard your heart
[Verse 2: Mugz]
I walked through fire and got burned, what did I learn
That every adult sins and it was just my turn
Ima firm believer in hit your head to keep it up
Cause you was looking down instead of looking up
Hard to see where you going with your eyes closed
You just walking, not realizing it's down the wrong road
Admit I was controlled by hormones and not thinking
Sink or swim my favorite analogy it's no fun when you sinking
Stinking, reaking of bad decisions and weed
My choices brought stress from problems I didn't need
What if I got a seed, it weighs heavy on my mental
A youngin raise a youngin but still I teach him or her the fundamental
Sentimental moment I'm losing myself being being myself
Every bad choice leads to a disintegration of my health
As if I don't got enough underneath my belt
As if the heat I'm taking ain't gon eventually make me melt

[Hook]
I fall but not too far down
Get up, i gotta swim or I'll drown
That bird wan sing, Mugz baby you're king
That bird wan ring, Mugz don't take the rope and hang
Yourself, too smart, safe guard your heart
Safe guard your heart
[Verse : Mugz]
If only I could fly, but no not I
I sing caged bird blues , drink booze, watch life pass me by
I got money but can't afford happiness what could I buy
Maybe a slice of pie or a piece of mind
Who am I, if I can't touch the Sky, a penguin
I taught I saw a putty cat inside brave men
Hoped ya peeped the quotes, they free but in the same boat
They look at me i look them like yeah we both
Lost in the frost of this glacier called earth
Made from dust and dirt but that ain't our worth
If this bird don't sing no bells won't ring
I can't make no hits if I don't at least swing
Its gon rain it's gon rain let it fall like tears
I shed all my fear, through the fog I saw clear
Lend me your ear, let me drop some jewels
You down because you stayed there after you fell
Oh well, I tried to tell ya a smile don't mean shit
They luv the hits but could give a fuck about this
Hurt in my heart , that made this great art
GET GOD ON THE PHONE shit is too hard
Emotionally physically and mentally scarred
Who are you to try to pull my card
Dig up old bones in my backyard
But there's none there I'm way too clean
I put it all on these beats the SHIT I did and seen

[Poem]
The noose of life struggles will choke you
The hatred and envy of enemies will provoke you
But baby, remember what I told you
We gon be alright
When things go left, god will show you right
Ventilation will your revelation when you write
In dark he will be your light, in pitch black he will shine bright
We gon be alright",2940613,en,en,en
Keep It Real Remix,rap,Miilkbone,1995,844,{},"[Verse One]
I want crew's participation
In the strangulation of a nation
Concentrate and make fire stations die of smoke inhalation
A confrontation with more organization is complication
You better start looking for some new occupation
I slip the Reeboks on my feet and hit the street
You want beef, the top of your physique will hit the concrete
I rap like Iraq and bomb like Saddam
Rock a spot on your block that your clique's clocking on
A lot of little brains and names are flaming out the middle
So if wack attracts fire you're a heat seeking missile
A pillow cushion on your face and now your souls in control
Ate your soul, watch me put holes in your South Pole
I fill up coffins every so often
I wanna go to Heaven but Hell's closer and I hate walking
So M double I.L.K. will represent
The hip hop is hotter than sex inside a leather tent

[Hook] {x2}
""We were beginners in the hood, and my mentality is, keeping it real, packing steal, getting high"" - AZ 'Life's A Bitch'
""High like an eagle"" - Seal
[Verse Two]
I'm comfy cozy more Pussycats than Josie
White man on stepping on Ini Kamoze jumping rosey
40 below South Pole's and nine millis
On a cold corner looking silly like Chilly Willy puffing on Phillies
So breaker 1-9, break it down
I get rugged as a rapist in a naked ass town
Now set it off, breaking down doors, know we're knocking
Chop off your head and sent your neck shoulder shopping
And for beginner wanna tried to the winner
I'ma make Jeffery Dahlmer take your mama out to dinner
I turn your posse to a pretzel and make ends meet
You're good as a crossing guard on a dead end street
So fuck everybody who don't walk a hot block
With your Glock's cocked out to pop cops, knicky knock knock
We at the hip hop chop shop ready to stop crops from growing
I'm flowing, showing more stars than Rock N Jock

[Hook]

[Verse Three]
Now everybody knows I do more dirt than shovels
Psychotic skills leaving puddles
Of everything from muscles to knuckles
I claim pain, razor blade rain hitting your brain
And now we harder than sniffing frozen cocaine
You rapping robots are liars
I'll take the hot pliers out the fire
Stick 'em and pull out the wack wire
See the perception I be stressing is protection
I'm so bad I make girls vaginal section get erection
With perfection, you wanna race me than chase me
Your punk ass crews couldn't face me if ya maced me
So back up and let me move, I got a bloody point to prove
On a violent vibe and ready to groove
I'll do the dirty deeds and kill thirty thieves
Heard the others came back when your boys heard me leave
Now I read the law, break it down, either or
On the real, shining steal, keep it real, keep it raw
[Hook]",534728,en,en,en
Dolla Signs and Palm Trees,rap,Dashboard Danny,2021,6,{},"From the city of the hustlers away from the beach
All I think about is dolla signs and palm trees
Been a long time since I shopped for some sheets
FTLOM I turnt into a fiend
I'm always asked why I'm always working
Cause I can't ever seem to make some time to  find me some sleep
I always ask have you ever been hungry?
So stop acting like you outchea and you ain't tryna eat

When my daddy wasn't working
He used to take me fishing
And he'd fill up the whole bucket
But I ain't want that for dinner
Spoiled lil brat
But my dad prepared for that
Separate what's gon be taken homе
And then we headеd back
But first we stopping at the store
For scratch off tickets and some smokes
At least that's what I thought
Cause Lil did I know
My daddy hustlin' on the low
Took all them fish right out the cooler
I'm Talkin all the fish that was in the bucket
Now just a quarter less fuller
That he traded for some dollars and some chops for him to cook up
Just For me
I see what you did for me
Now it's time to eat
From the city of the hustlers away from the beach
All I think about is dolla signs and palm trees
Been a long time since I shopped for some sheets
FTLOM I turnt into a fiend
I'm always asked why I'm always working
Cause I can't ever seem to make some time to  find me some sleep
I always ask have you ever been hungry?
So stop acting like you outchea and you ain't tryna eat",7407741,en,en,en
You,rap,Hailey B,2016,27,{},"[Hook: Unknown]
I'm not lookin' for love, not lookin' for love, lookin' for love
Not lookin' for love, lookin' for love
I'm not lookin' for love, not lookin' for love, lookin' for love
Not lookin' for love, lookin' for love
(I'm lookin' for you)

[Verse 1 : Hailey B]
I remember the first time I had laid eyes
Black with the white stripe, the 1969 type
Late drives in the night time
White walls with them bright headlights, them headlights
Never have I ever wanted something so bad
I was ready to sell everything that I had
Just to sit in that car, dreams of driving really far
Driving out to see the sunset and the stars
And the stars always shine so bright
I never wanted to ever see the daylight
Driving coast to coast, love of my life to my right
Wind flowing just right, everything was alright, alright
But when that sun rise, everything was still right
That night I found the real love of my life
The white 2005 Camaro, Double blue stripe
My model 10 years later, and that’s perfectly fine
[Hook: Unknown]
I'm not lookin' for love, not lookin' for love, lookin' for love
Not lookin' for love, lookin' for love
I'm not lookin' for love, not lookin' for love, lookin' for love
Not lookin' for love, lookin' for love
(I'm lookin' for you)

[Verse 2: Hailey B]
I remember the first time I had laid eyes
Blonde hair with the blue eyes
The ""fuck me over and I’ll fuck you up” type
Yeah I like that, I can really dig that, I think I really like that
Once have I ever wanted something more bad
I was ready to give you everything that I had
And all I had was my love, and you were like a drug
A couple henny shots, and I was already fucked
Up on your love, nicotine and weed could do no good
But then again who really could? Who could love like I would?
Never gave me the proper chance to really prove to you
I was watcha needed too, look at me, now look at you
Look at the way I look at you
Looking for love, but iIm stuck here looking for you
Boy oh boy what should I do? What should I do, I still got more to prove, but to who?

[Hook: Unknown]
I'm not lookin' for love, not lookin' for love, lookin' for love
Not lookin' for love, lookin' for love
I'm not lookin' for love, not lookin' for love, lookin' for love
Not lookin' for love, lookin' for love
(I'm lookin' for you)",2490079,en,en,en
ISSA FUNERAL,rap,SCTHECARDINAL,2017,255,{},"(Issa Funeral)

[verse 1]
“Hustle 10 Crossfit”
All these bitches wanna ride my dick in yo’ crib
With yo’ trick
Just like Quinn
Steal yo’ bitch
Accurate
Owning this
Pretty lit
We just flex
Cut you up
Feed a pig
Reppin' my town with my squad
Pick up a game you know we gone' ball hard
Wrists so cold like we bought it from a shark
Body slamming all y’all, we just like The Rock

[pre Chorus]
I don’t know ‘bout you but we got that cash
You want some? Hell nah take yo' ass back
I don’t know how you think you gonna get free shit
When we hit ya ass with a fade, drown yo’ bitch

I don’t know ‘bout you but we got that cash
You want some? Hell nah take yo' ass back
I don’t know how you think you gonna get free shit
When we hit yo' ass with a fade, drown yo’ bitch

[Chorus]

They talking so funny right now (aye)
Funny right now
Ayy, Ooh
We killin’ these clowns
Ayy, Ooh
We killin’ these clowns

They talking so funny right now (aye)
Funny right now
Ayy, Ooh
We killin’ these clowns
Ayy, Ooh
We killin’ these clowns
[verse 2]

Noah
Flow up
Showed up
Glowed up
All done
So not sorry
For the shit
He made up
Call yo’ mama
Fuck the drama
We gone’ toss ya
Like a salad
“Chicken Caesar”
Add the dressing
Then we’ll eat ya
Girl
Never wanna fuck with my world
Never wanna fuck with no purp
Aye look! A squirrel

[pre Chorus]


I don’t know ‘bout you but we got that cash
You want some? Hell nah take yo' ass back
I don’t know how you think you gonna get free shit
When we hit yo"" ass with a fade, drown yo’ bitch
I don’t know ‘bout you but we got that cash
You want some? Hell nah take yo' ass back
I don’t know how you think you gonna get free shit
When we hit ya ass with a fade, drown yo’ bitch

[Chorus]


They talking so funny right now
Funny right now
Ayy, Ooh
We killin’ these clowns
Ayy, Ooh
We killin’ these clowns

They talking so funny right now (aye)
Funny right now
Ayy, Ooh
We killin’ these clowns
Ayy, Ooh
We killin’ these clowns

[verse 3]

Soclean
Got dreams
Main screen
IG
Retweet
Sign me
Please don’t find me
Got yo baby
She my lady
She too crazy
I say maybe
Always craving
Pussy tasty
If you pay me
I’ll cure Haiti
But
Never wanna stop we on top
Purple and yellow gone get fucked up
Grabbing your girl and she giving us suck
Go ahead get mad issa funeral what?

Never give a fuck 'bout yo' bros
Never give a fuck 'bout yo' hoes
Never gave a fuck 'bout yo' clothes
Always gave a fuck 'bout our rules

And we pull up in a rolls
Maroon squad so cold
Ice on our neck we froze
Ballin' like a healthy D. Rose

Play action issa jungle in this bitch
We go in there to kill a fuckin’ lion
I dont know why yall keep tryin'
Its okay we put you to silence

Eat our Wheaties hell yeah cereal
Healthy as fuck damn we careful
Put you down this shit a burial
Hustle 10 out here ISSA FUNERAL",3245080,en,en,en
