,title,tag,artist,year,x_coordinate,y_coordinate
0,Relax,rap,Rich Amiri,2022,-0.4,0.7
1,Extra,rap,Lil Calorie,2020,-0.8,-0.3
2,The Most Fun,rap,Safaree,2015,0.7,0.9
3,California,rap,Vanilla Taurus,2018,-0.7,0.6
4,Free Thinking,rap,ProduceKyro,2021,0.3,0.7
5,That Bird,rap,Young Mugz,2016,-0.2,0.7
6,Keep It Real Remix,rap,Miilkbone,1995,-0.4,0.7
7,Dolla Signs and Palm Trees,rap,Dashboard Danny,2021,-0.8,-0.5
8,You,rap,Hailey B,2016,-0.7,-0.3
9,ISSA FUNERAL,rap,SCTHECARDINAL,2017,-0.6,0.7
10,Lions and Tigers and Bears,rap,Hiesse,2019,-0.6,0.7
11,Diss on my sis,rap,Dj hughes,2019,-0.6,0.7
12,King me,rap,King_isaiahhh,2015,-0.4,0.7
13,Insta Dreams,rap,Nightingale_RUS,2019,-0.7,-0.7
14,SHUT UP,rap,JAYKakashi,2020,-0.6,0.7
15,Ghetto Apostles,rap,Shabazz the Disciple,1998,-0.4,0.7
16,Hanh,rap,Dot Dot Curve,2008,-0.6,0.7
17,Word to Spread,rap,The Funk Hunters & Chali 2na,2016,-0.7,0.3
18,Growth,rap,Sami-Kaie,2019,0.9,0.2
19,DROPTHESAUCE,rap,PrxdDaGxd,2017,-0.4,0.7
20,Gun Emoji Bang,rap,Gensu Dean & Denmark Vessey,2018,-0.6,0.5
21,BUDDAH ARMS,rap,Thouxanbanfauni,2022,-0.7,0.3
22,Graduation333,rap,Majoraeclipse,2021,-0.6,0.5
23,Lasting,rap,DAJ,2018,0.3,0.7
24,No Offence,rap,Tobbz,2019,-0.6,0.5
25,1994 Freestyle,rap,Young Social,2016,-0.8,0.1
26,In The Field Again,rap,FORTYTEN,2019,0.7,0.9
27,Exodia,rap,Tori2x,2022,-0.4,0.7
28,Joy to the World,rap,Shama Mrema & PD Bachmann,2019,0.9,-0.2
29,​​thelifestyle,rap,Eli juggz,2021,0.9,0.6
30,Ratchita,rap,Ty-Mitch,2020,0.3,0.7
31,Backseat Freestyle,rap,DJ Critical Hype,2018,0.3,0.7
32,102.1 Jamz Freestyle,rap,J. Cole,2009,0.3,0.7
33,Sewed Up,rap,Q Da Fool,2018,-0.4,0.6
34,Where You Been,rap,BrvndonP & Mission,2017,0.7,0.9
35,Life is Beautiful,rap,Parsa,2019,-0.8,-0.1
36,Used To,rap,Skr1ter,2020,-0.7,0.6
37,Untitled feat. Yung Kayo,rap,KILLY,2019,0.9,-0.2
38,The Marijuana Song,rap,A.K.Nash,2016,0.3,0.7
39,Space,rap,Asher Roth,2012,-0.7,-0.7
40,Tales Of Women,rap,Akua Naru,2012,-0.8,-0.3
41,Gods Will,rap,William Pippins,2018,-0.8,-0.5
42,Peppa.exe vs Sonic.exe,rap,Animation Rewind,2020,-0.6,0.7
43,Stormy Weather,rap,303BAM,2021,0.9,-0.2
44,What You Know,rap,Soulja Boy,2009,-0.2,0.7
45,Chopsticks,rap,Almighty Jay,2017,-0.4,0.7
46,Searle St Serenade,rap,D'Meetri,2019,-0.7,0.3
47,Like You,rap,Figure Flows,2017,0.9,-0.2
48,21 Answers,rap,Lil' Mo,2013,0.7,0.9
49,Fake Me,rap,Triple A,2018,0.8,-0.5
50,Mindframe,rap,Toddi,2017,0.6,-0.4
51,Kings Bread,rap,Yung cash register aka lil broomstick,2018,-0.4,0.7
52,Astronaut In The Ocean Remix,rap,Vojtech Cekal,2021,0.7,0.9
53,Shining,rap,Movvy,2020,-0.8,-0.5
54,Collapse,rap,HeyMrNoOdLeS,2019,-0.8,-0.3
55,Monster,rap,D-Lo116,2021,-0.2,0.7
56,Spacing,rap,Gidii,2019,-0.7,-0.3
57,This Cant Be Happening Intro,rap,Us3rn4mee,2021,-0.8,-0.1
58,Dolce  Gabbana,rap,PD,2021,0.7,0.9
59,The Cipher,rap,Lord Jamar,2006,-0.8,-0.3
60,Windmill Cancer Survivor,rap,Beans,2019,0.7,0.6
61,Monkey Ish,rap,Stalley,2014,-0.6,0.5
62,Fight Or Win Single,rap,Kimo's,2020,-0.6,0.7
63,Double Up,rap,Sylence 100,2020,0.7,0.9
64,Up,rap,Yung Mavu,2020,0.3,0.7
65,VVS Remix,rap,Lil Skittles,2019,-0.6,0.5
66,Intro Skit,rap,Lil Oli,2021,-0.8,-0.3
67,NINA SIMONE,rap,BabyDaiz,2021,0.9,-0.2
68,Too Much,rap,Barry Allen,2016,-0.7,-0.7
69,Paid the Fine,rap,"Young Stoner Life, Young Thug & Gunna",2021,0.9,-0.2
70,The Brink,rap,Nate Nics,2021,-0.6,0.5
71,Uptown Interlude,rap,Lord Stunnah,2018,-0.7,-0.7
72,A Lot,rap,Brazen-Faced,2020,-0.4,0.7
