,artist,lyrics,tag,title,x_coordinate,y_coordinate,year
800,Pokey LaFarge,"She got a broke down El Camino, in the front yard up on blocks
Her mom walks around in a pink nightgown, sandals and white socks
She don’t mind a baseball game in the middle of the lightning and the rain
She’s a pain in my brain, drives me insane
But I love her just the same, boys, love her just the same

[Chorus]
Something in the water
(something in the water)
Something in the water
(something in the water)
Ooh-ooh-ooh-ooh
What makes her crazy I don’t know
Never seen anything like her before
There must be something in the water

She does her makeup and hair, to cook fried chicken in her underwear
She drinks malt liquor for lunch and dinner and sends me running scared
She yells, she screams and she beats me
But I don’t mind the way she treats me
She’ll someday lead to my death I know
But I’ll stay with her just the same, boys, stay with her just the same
[Chorus]
Something in the water
(something in the water)
Something in the water
(something in the water)
Ooh-ooh-ooh-ooh
What makes her crazy I don’t know
Never seen anything like her before
There must be something in the water

My hoosier girl is so fine, shake the watermelon off the vine
She’ll blow you a fist, throw you a kiss and you’ll thank her every time
Mmm, they’re all so crazy and beautiful
But I tell you the woman is never dull
They’ll break your back, give you a heart attack
But you need them just the same, boys, need them just the same

[Chorus]
Something in the water
(something in the water)
Something in the water
(something in the water)
Ooh-ooh-ooh-ooh
What makes her crazy I don’t know
Never seen anything like her before
There must be something in the water
What makes her crazy I don’t know
Never seen anything like her before
There must be something in the water
There must be something in the water
There must be something in the water
In the water
What makes her so crazy
There must be something in the water baby
There must be something in the water baby
There must be the water
There must be the water",country,Something in the Water,0.4,0.8,2015
801,Matthew Ryan,"Later on
When we've all come down
And the streets are just a funeral
And the last event
Is falling ash and embers
We'll drift and waltz and twist into nothing
We weren't too bright my love, but
Weren't we something?

Heroes waved
From rented black sedans
Monsters crept behind tall buildings
And we smiled and cheered
Like nothing ever ended
We were so beautiful we forgot we were human
In dusk and fear amen
We found our undoing

Don't say it comes as any shock
Things just go and go and go until they stop
I'll always remember you as a song with no end
Here until...
Early May
She was standing in the front yard
The sun was perfect, the clouds gone missing
And I couldn't move
That's when she started crying
It felt so quick and yet somehow in slow motion
We're all just boats that sink while falling in love
With the ocean

Don't say it comes as any shock
Things just go and go and go until they stop
I'll always remember you as a song with no end
Here until...

The last event

Don't say it comes as any shock
Things just go and go and go until they stop
I'll always remember you as a song with no end
Here until...

The last event",country,The Last Event,-0.3,-0.3,2019
802,Poor Man's Poison,"[Verse 1]
Longing for something more
Will I ever be free?
Will I ever be free?
I been waitin’ for that sunshine on my door
Will I ever be free?
Oh Lord set me free
You know you’ll never be free
When you’re friends with the enemy

[Verse 2]
Workin’ on a better way
Will I ever be free?
Will I ever be free?
Keeping on even though it’s oh so far away
Will I ever be free?
Oh Lord set me free
You know you’ll never be free
When you’re friends with the enemy

[Chorus]
And them hard times keep comin’ at the worst times
And it’s hard enough just to keep my head afloat
And I pray to God that I make it through December
I’ll be on my way now walking this stretch alone
Said I’ll be on my way, I’m walking this stretch alone
[Interlude]

[Verse 3]
Never more will you see my face
Will I ever be free?
Will I ever be free?
Broken down but I’m holding out for better days
Will I ever be free?
Oh Lord set me free
You know you’ll never be free
When you’re friends with the enemy

[Chorus]
And them hard times keep comin’ at the worst times
And it’s hard enough just to keep my head afloat
And I pray to God that I make it through December
I’ll be on my way now walking this stretch alone

[Outro]
And them hard times keep comin’ at the worst time
And it’s hard enough just to keep my head afloat
Said that I pray to God that I make it through December
I’ll be on my way now walking this stretch alone
Said I’ll be on my way I’m walking this stretch alone",country,Friends With The Enemy,-0.6,-0.4,2011
803,Charly McClain,"My heart beats with the lonely rain
Wishin' I could see your face again
Change the dial on the radio
Find somethin' playin' kinda bluesy an' slow
If things were only like they used to be
With you lyin' in love tonight
I wish you'd call me on the telephone
I don't wanna spend another night alone

Sleepin' with the radio on
It's the only way I can make it till dawn
Sleepin' with the radio on
You're on my mind 'an I can't forget you

It's gettin' late, almost quarter-to-four
I hear a knock at my door
Stumble in the dark an' hear your voice again
Open up the door an' let the sunshine in
Take me in your arms an' make love nice an' slow
It's so good to be this close to you
No more nights of sleepin' alone
No more days with these lovesick blues
'Cause we'll be sleepin' with the radio on
Let's take the rest of the day together
An' I'll unplug the telephone
Now that you're here, I'm gonna love you forever

Sleepin' with the radio on
I don't want more of those nights all alone
Sleepin' with the radio on
You're on my mind and I can't forget you",country,Sleepin With the Radio On,-0.7,-0.4,1981
804,Michael Martin Murphey,"An old cowpoke went ridin' out one dark and windy day
And he rested on the saddle as he rode upon the way
When all of a sudden a mighty herd of red eyed cows he saw
Yipee yi yay
Yipee yi yo
Thunderin' through the windy sky
And up a cloudy draw
Their brands were still on fire
And their hooves were made of steel
Their horns were black and shiny
As hot as you could feel
And a bolt of fear went through him
As they thundered through the sky
He saw some riders comin' hard
And he heard their mournful cry
Yipee yi yay
Yipee yi yo
Ghost riders in the sky
As they galloped past him
He heard one call his name
If you want to save your soul from hell
Ridin' on this range
Then cowboy change your ways today
Or with us you will ride
Chasin' this old devil herd
Through these never ending skies",country,Riders in the Sky,-0.2,0.6,1993
805,Dan + Shay,"Monday mornin' here with you
Under this bed sheet parachute
Skin so soft, eyes so blue
The lightning strikes and the rain falls too
So let it fall, let our worries wash away
Let it roll down our windows, all wrapped up we'll stay

[Chorus]
Lady, we can lay here and be lazy
Let it all go, I'll be a pillow, slide just a little closer, let me warm you up
Darling, drown in a river that you're caught in
I wanna get lost in your silhouette, and don't forget that red, wet kiss on my lips
We don't have to go outside, baby just close your eyes

Hold your body like a sweet, sweet rose
From your long brown hair to your curled up toes
Pull you in, keep you close
I wanna know the you nobody knows
Baby fall, you're safe here in my arms
We can cover all the windows and hide out in the dark
[Chorus]
Lady, we can lay here and be lazy
Let it all go, I'll be a pillow, slide just a little closer, let me warm you up
Darling, drown in a river that you're caught in
I wanna get lost in your silhouette, and don't forget that red, wet kiss on my lips
We don't have to go outside, baby just close your eyes

[Chorus]
Lady, we can lay here and be lazy
Let it all go, I'll be a pillow, slide just a little closer, let me warm you up
Darling, drown in a river that you're caught in
I wanna get lost in your silhouette, and don't forget that red, wet kiss on my lips
We don't have to go outside, baby just close your eyes

I'm gunna hold your body like a sweet sweet rose
From your long brown hair to your curled up toes",country,Close Your Eyes,0.2,-0.7,2014
806,The Infamous Stringdusters,"[Verse 1]
I don't mind telling you whats on my mind
When i do give me the same look at you
I'm looking for you

[Verse 2]
I can't see why you're not trusting in me
Time stands still, unless you can tell me you will
Please tell me you will

[Chorus]
We've got to open our hearts
Isn't it time that we start
Taking a chance on the truth

[Verse 3]
I hope you know how I only want our love to grow
Hand in hand, giving it all that we can
Oh, let's do what we can

[Chorus]
We've got to open our hearts
Isn't it time that we start
Taking a chance on the truth
[Bridge]
Maybe we'll find what we need
But baby there's no guarantee
Tell me you'll let me inside
Show me there's nothing to hide
Taking a chance on the truth

[Instrumental]

[Chorus]
We've got to open our hearts
Isn't it time that we start
Taking a chance on the truth
Girl, take a chance",country,Taking A Chance On The Truth,-0.3,0.6,2010
807,Channing Wilson,"I've lost a lot of good friends to the poor man's cocaine
I've seen it rot away their teeth and fry the love right out of their brain
Sent evolution back 10,000 years in just one day
God damn that poor man's cocaine

Oh black, white, rich, poor we're all the same
There's only one class to ride on the devil's railroad train
Once it hits your lips son you won't ever be the same
I say God damn that poor man's cocaine

Yeah like a California wild fire with a chance of rain
It's tearin' up our east coast like a thousand hurricanes
And it's runnin' through our small towns like poison in your veins
God damn that poor man's cocaine

There's a strung out boy stealin' from his old man tonight
And a mama cryin' ""What went wrong, Lord help me save his life""
He's been up a week now he's just about insane
I say God damn that poor man's cocaine

Yeah like a California wild fire with a chance of rain
It's tearin' up our east coast like a thousand hurricanes
And it's runnin' through our small towns like poison in your veins
God damn that poor man's cocaine
I say God damn that poor man's cocaine
I say God damn that poor man's cocaine",country,Poor Mans Cocaine,-0.6,-0.2,2012
808,The Oak Ridge Boys,"We may never have to suffer
And we may never have to die
Like the Savior did on Calvary
On the cross He bled and died

We will never have to travel
On a road to Calvary
There's no cross for us to die on
It's been done for you and me

All the things that we may suffer
And all the tears that we cry
Are not worth the life He gave us
On the cross He bled and died",country,Its Been Done,-0.6,-0.3,1976
809,Mary Chapin Carpenter,"[Verse 1]
I was standing on the sidewalk in 1945
In Jacksonville, Illinois
When asked what my name was there came no reply
They said I was a deaf and sightless half-wit boy
But Louis was my name, though I could not say it
I was born and raised in New Orleans
My spirit was wild, so I let the river take it
On a barge and a prayer upstream
Well, they searched for mother
And they searched for father
And they searched till they searched no more
And the doctors put to rest their scientific tests
And they named me 'John Doe No. 24'
And they all shook their heads in pity
For a world so silent and dark
Well, there's no doubt that life's a mystery
But so too is the human heart
And it was my heart's own perfume
When the crepe jasmine bloomed on St. Charles Avenue
Though I couldn't hear the bells
Of the streetcars coming by toeing the track I knew
And if I were an old man returning
With my satchel and porkpie hat
I'd hit every jazz joint on Bourbon
And I'd hit everyone on Basin after that
[Verse 2]
Well, the years kept passing as they passed me around
From one state ward to another
Like I was an orphan shoe from the lost and found
Always missing the other
And they gave me a harp last Christmas
And all the nurses took a dance
Well, lately I've been growing listless
I've been dreaming again of the past
I'm wandering down to the banks
Of the great Big Muddy where the shotgun houses stand
I am seven years old and I feel my daddy
Let go of my hand
While I drew breath no one missed me
So they won't on the day that I cease
Put a sprig of crepe jasmine with me
To remind me of New Orleans

[Outro]
I was standing on the sidewalk in 1945
In Jacksonville, Illinois",country,John Doe No. 24 Live - One Night Lonely,-0.1,0.6,2021
