,artist,lyrics,tag,title,x_coordinate,y_coordinate,year
200,Lhomelessm,"Yo girl
You be the one in my mind
100 times
100 rhymes
You allways on my mind
Yeah
You worth it
Girl your so worth it
I need you
Your the one i like
I could hold you by my side
I dont wanna hide
Yeah my secret finna go outside
First time we eyed
You told me i lied
Never had a chance
Now everytime you see me i always glance
Your worth it
I like you and its worth it
You
You you
Your worth it
Girl your so worth it
I need you your the one i like
You could strike me once and i would still want you
Your look at me and think who
Like who are you
I'm the one
I'm the one
Your perfect
Worth it",rb,Worth it,0.9,0.6,2021
201,Radio Rell,"HOOK
Lil mamma on 10 yea Shawty on Fleek all she wanna do is turn up in the club every week with the body of a goddess I can tell she a freak no it ain't no doubt about it cuz Shawty on Fleek


VERSE: 1
Lil mama bad so a nigga gotta chastise so petite on fleek nice breast size she from the east but i met her on the west side I bet that pussy taste sweet like red vines unh
Got the body of a goddess hair silky smooth she look like she from the tropics every week in the club she turn up and get it poppin  yea shawty on fleek therеs really no better option
Thеm other bitches don't compare to you  OFA is what she rockin with the jimmy chu honey bomb ima eat it up like wenni pooh on
Fleek she a freak what that booty do

HOOK
Lil mamma on 10 yea Shawty on Fleek all she wanna do is turn up in the club every week with the body of a goddess I can tell she a freak no it ain't no doubt about it cuz Shawty on Fleek


VERSE: 2
Like a snickers out the freezer yea I'm hard af She back it up and dump it on me like a garbage truck no disrespect but u might just have to pardon us cuz lil mama on point like a barber cut Shawty got it her swagger is unpredictable but she ain't fuckin with u lames yall despicable me and u together baby that's the visual cuz when it come to beauty baby you the pentacle On fleek is what they call it do yo body got my number cuz I swear I hear it callin rip I kill the pussy I don't need no coffin cuz when I'm in it she be running like some water out the faucet


HOOK
Lil mamma on 10 yea Shawty on Fleek all she wanna do is turn up in the club every week with the body of a goddess I can tell she a freak no it ain't no doubt about it cuz Shawty on Fleek
Bridge: Never seen anything quite like her type cuz to me she a queen just what I like",rb,Shawty on fleek,0.4,0.7,2015
202,Prey (preye_itams),"Into
Ta da da da da
Ta da da da da
Ta da de de oh
Ta da da da da

Verse 1
Her name was Mortia and I believed
Told me who she was and though I failed to handle
Met her at the park playing all on her own
I'm thinking is she lost?
I’m not here for you, for you (oh)

Verse 2
The child in the sound of her voice, had an open heart
And I looked around and I know that I should let it go
One short sleep, wake eternerlly and become no more
Death write me a poem, negotiate when we're done
She and I one on one
Thats how we get it done
So calm, so cruel
Only time knows when Mortia would return
Chorus
Ta da da da da
Ta da da da da
Ta da de de oh
Ta da da da da

Tie my breath
Seal it in the name of love
If this is the age of mercy it's the age of gold
Tie my breath
Seal it in the name of love
If this is the age of mercy it’s the age of gold

Chorus
Ta da da da da
Ta da da da da
Ta da de de oh
Ta da da da da

Refrain
Seal it in the name of love
Mercy it's the age of gold
Seal it in the name of love
Mercy it's the age of gold",rb,Mortia,-0.8,-0.1,2015
203,Waje,"Oh uh uh uh uh uh
I watch you as you wake this morning
Oh my darling
You take my breath away
That look upon your face open morning
Oh my darling I'm so in love with you today
Oh your eyes how they shine light into my soul
The way that you smile oh it makes me glow
Let us make this forever and after
My baby boo
Oh so much joy and laughter when I'm with you
Pepelepe oooo
You don't thief my heart away
Pepelepe oooo
Oh my baby boo
Pepelepe oooo
You don't thief my heart away
Pepelepe oooo
You take my breath away
Oh my darling
I get worried say you love me too much
Oh don't be far away my honey
Oh I need you every second of the day
Oh your eyes how they shine light into my soul
The way that you smile oh it makes me glow
Let us make this forever and after
My baby boo
Oh so much joy and laughter when I'm with you uh
Pepelepe oooo you don't steal my heart away
Pepelepe oooo oooo my baby boo
Pepelepe oooo you don't steal my heart away
Pepelepe oooo
I don't know where you come from
Or what you do
But I'm grateful to the Lord that it is you
Darling I feel the same way too
You know I'll give it all for you
And now I know the truth
That it's always been you yeah yeah
Pepelepe yeah yeah ooooo
You don't thief my heart away
Pepelepe yeah yeah ooo you don't thief my heart away pepelepe yeah ooo
Oh my baby boo
Pepelepe yeah ooooo
You don't thief my heart away
Pepelepe ooooo yeah yeah
Oh oh my baby ooo
Yeah yeah yeah pepelepe oooo
Ugh ugh ugh ugh pepelepe ooo
Pepelepe oooo
Oh you don't steal me baby oh
Pepelepe oooo
Bae baby baby baby yeah
Ayayayaya
This love is
Ewu ewu ewu
Ah ah ah ahah",rb,Udue,0.9,0.6,2018
204,Janine,"[Verse 1]
Yeah, yeah
Know the game, know the game, know it so well
Wanna win, wanna keep your head as well
How much can you take?
We're gonna find out
I just wanna be by myself
Know the game, know the game, know it so well
Make sure you know yourself, know them as well
Do they really give a fuck?
I guess we'll find out
I just wanna be by myself
I just wanna be by myself
Yeah, yeah

[Chorus]
It's far too late to act like you'll be there, be there
And it's far too late to act like I still care, still care
Cause I know what this is
So have no fear, no fear
Your talk is worthless than my time
And I just want to be by myself
Yeah, yeah
I just want to be by myself
[Verse 2]
Know your heart, know your mind, know your soul now
Remind yourself, say it out loud
It's just you, just me, just us now
I just want to be by myself
Know your heart, know your mind, know your soul now
What you hold close, and what you can't tell
You tell it, you tell it, you tell it so well
I just want to be by myself
I just want to be by myself

[Post-Chorus]
And if you're pushed under, can you swim?
And if you're pushed under, can you swim?
And if you're pushed under, can you swim?
And if you're pushed under, can you swim?

[Chorus]
And it's far too late to act like you'll be there, be there
And it's far too late to act like I still care, still care
Cause I know what this is
So have no fear, no fear
Your talk is worthless then my time
And I just want to be by myself
I just want to be by myself
I just want to be by myself
I just want to be by myself
[Bridge]
When I act like we're good
We can play with sin
Probably wouldn't mind if we don't speak again
You manipulate me, call yourself a friend
Bite my hand, I cut you off like a split end
You think you're winning now?
Oh, oh, oh you think you're winning now?
Oh, oh, oh you think you're winning now?

[Post-Bridge]
And it's far too late to act like I still care
That you're never gonna be there, you're never gonna be there

[Chorus]
And it's far too late to act like you'll be there, be there
And it's far too late to act like I still care, still care
Cause I know what this is
So have no fear, no fear
Your talk is worthless then my time
And I just want to be by myself
Yeah, yeah",rb,Be By Myself,-0.6,0.6,2018
205,Carl Anderson,"[Vocals: Carl Anderson, Vanésse Thomas, both]

[Verse 1]
My heart would ache each day
Wishing love would find its way
Then you came, and you changed my life forever
All my dreams have come true
It's very clear to me
You and I were meant to be
Making love through those stormy nights together
And last night shared with you

[Chorus]
It's the love you're giving me
So much more than I ever dreamed could be
It was there for all to see
This is how it was always meant to be

[Verse 2]
My heart anticipates
This еvening's warm embrace
Holding hands as wе plan our life together
Keep one future for two
Your eyes so deep, so clear, mm...
Your lips so soft, so near
It's enough holding you in my arms forever
All my life is for you
[Chorus]
It's the love you're giving me
So much more than I ever dreamed could be
It was there for all to see
This is how it was always meant to be
It's the love you're giving me
So much more than I ever dreamed could be
It was there for all to see
This is how it was always meant to be

[Bridge]
Oh, how I treasure these moments
Travelin' time and space, stand still
Oh come, let us share the magic
That love's made solely

[Outro]
It's the love you're giving me (when you came)
So much more than I ever dreamed could be
(In my lfe, changed my life forever)
It was there for all to see (it was very clear)
This is how it was always meant to be
(This, this is how all was meant to be)
It's the love you're giving me (thank you, baby)
(No, thank you) so much more than I ever dreamed could be
(For giving me so much love) (so much love)
(So much love) it was there for all to see, there for all to see
This is how it was always meant to be, always meant to be (ooh...)
It's the love you're giving me (it's the love), love you're giving me
So much more than I ever dreamed could be, ever dreamed could be
It was there for all to see, there for all to see
This is how it was always meant...",rb,It’s the Love,0.8,0.4,1984
206,R.LUM.R,"[Verse 1]
Too many years of this, too many fears of this
Too many tears on deafened ears 'bout shit that don't exist
This time the difference is, I got this confidence
No longer needing your permission for my self defense
I can’t stress this enough, the best self is self love
Tryna find the best in hellishness from which I come
If preservation is what you call ""selfishness""
I'd rather be selfish than be helpless to my helplessness

[Chorus]
I don't wanna talk in circles to myself
I think I should talk about my mental health
I don't wanna talk in circles to myself
I already know that story way too well

[Refrain]
Talk to my, talk to my, talk to my, talk to my (In circles to myself)
Talk to my, talk to my, talk to my, talk to my (Haha)

[Verse 2]
This worry shit is lethal, got too much shit to do
Too many dreams and people waiting on them comin' true
Our paths were never equal, but I still got love for you
Regardless if you think it’s true
'Cause if I leave, I'm ungrateful and selfish
But if I stay, I end up hateful and helpless
That in between has kept me from my progression
For far too long
Yes, I changed up (Yes, he changed up)
There's no going back
You're only a stranger if you choose to be that
[Chorus]
I don't wanna talk in circles to myself
I think I should talk about my mental health
I don't wanna talk in circles to myself
I already know that story way too well

[Refrain]
Talk to my, talk to my, talk to my, talk to my (In circles to myself)
Talk to my, talk to my, talk to my, talk to my (Haha)
Talk to my, talk to my, talk to my, talk to my (In circles to myself)
Talk to my, talk to my, talk to my, talk to my (In circles to myself)
Talk to my, talk to my, talk to my, talk to my (In circles to myself)
Talk to my, talk to my, talk to my, talk to my (In circles to myself)
Talk to my, talk to my, talk to my, talk to my (Hey man, uh, must have missed you, but)
Talk to my, talk to my, talk to my, talk to my (Listen, we've been through a lot of shit together, a lot of stuff has changed, and)
I just wanted to see if you were, you know, coming home for the holidays
Um, anyways, I wanted to say that I'm super, super proud of you And we'd love to see you, miss you dude, later",rb,Circles,-0.7,0.3,2019
207,RUSSELL!,"Lyrics from Snippet
You know you got just what I need
Nah-nah, nah-nah

[Verse]
Fallin' in love
Lipstick on glasses we drank from last night
Staring, I never took you out my sight
Your dress was all red, had your legs looking nice
Cancel my flight, little mama I might
Think this is right",rb,Fallin’ in Love,0.3,0.6,2022
208,AOE,"I
I don’t have anyone to turn to
No one left to turn to
But you my friend
But you my friend
I
I don’t know what you’re trying to get to
Nothing left to give you
But darkness friend the darkest
And I tried everything twice the first time
But the brightest light can’t find no break in the wall
I
I can’t see past any other option
Opening my heart can be dangerous friend, a waste, yeah
When I die trying to giving cures to the killer
Never knew better
But now I know this time
This time
This time I’m right
This time
This time
This time
This time I’m right
This time
This time I’m right
This time
This time
This time
This time I'm right
This time
This time I’m--
I know you more than I want to
Had another friend who got close back then too close
Now I can't trust anybody long as they know me
Life is a straighter road when it’s lonely friend the longest
And I tried everything twice the first time
But the brightest light can’t find no break in the wall
I
I died trying to find love that would fill me
Could've let it kill me
But now I know this time
This time
This time I’m right
This time
This time
This time
This time  I’m right
This time
This time I’m right
This time
This time
This time
This time I’m right
This time
This time I’m—

This time I’m right
This time
This time
This time
This time  I’m right
This time
This time I’m right
This time
This time
This time
This time I’m—",rb,Im Right This Time,-0.8,-0.2,2017
209,Angela Muoz,"You're a ladies weakness
Just your eyes will have my knees baby
Ohh I, I, do I like you the way you are

Top down, yeah top down
You drive around, you drive around
Oh I, do I need you the way you are
Oh I

Can I get to know yah?
Can I get to show yah?
How I feel
You got all attention
Cause all these ladies want you

This love below won't ever show
I keep it cool so you never know
These things I feel for you ohhh
But I keep finding you just wandering
And in my mind
By the way cause I know I ain't you're type
Top down, yeah top down
You drive around, you drive around
Oh I, do I need you the way you are
Oh",rb,Top Down,0.3,0.7,2020
