,artist,lyrics,tag,title,x_coordinate,y_coordinate,year
400,Dead Kennedys,"[Verse 1]
Happy hour belongs to America's best-loved thugs
Here come the four-wheel drive prosthetic penises
Got your gun racks, tractor tires and lynch mob drivers, we couldn't find a chick to sit in the middle
So we drink ourselves sick, lean out the windows and pinch ass instead

[Chorus]
We are the goons of Hazzard
Glorified on your TV
We run down bikes and hitchhikers
'Cause we know we'll get off scot-free

[Verse 2]
We're the vigilante heroes of your tough guy flicks
Bashing punks and bums and fags with our baseball bats
No deer to blow away in the woods today so we go to Oroville and shoot a black kid down
Or waste demonstrators in Greensboro instead

[Chorus]
We are the goons of Hazzard
Glorified on your TV
We'll leave you in a pool of blood
'Cause we know we'll get off scot-free
[Bridge]
Get him!
Get him!
C'mere!
C'mere!
Say something to me?
We've got him cornered
We've got him cornered
Is anybody looking?
Does anybody even care? No!
Yes!

[Verse 3]
The local papers paint us up to be big heroes
City fathers and chamber of commerce want us deputized
Stoner gestapo keeping your town clean, get a shave kid, we'll pay you as a strikebreaker
Maybe you'll be make Tac Squad for the L.A.P.D

[Chorus]
We are the goons of Hazzard
Glorified on your TV
We'll leave you in a pool of blood
'Cause we know we'll get off scot-free",rock,Goons of Hazzard,-0.6,0.6,1985
401,The Who,"Well, I'm a gonna raise a fuss, I'm a gonna raise a holler
I've been working all summer just to try and earn a dollar
Well, I went to the boss, said I got a date
The boss said ""No Dice, son, you gotta work late""

Sometimes I wonder, what am I gonna do
There ain't no cure for the summertime blues

Well, my mom and poppa told me, ""Son you gotta earn some money
If you want to use the car to go out next Sunday""
Well, I didn't go to work, I told the boss I was sick
He said ""You can't use the car cause you didn't work a lick""

Sometimes I wonder, what am I gonna do
There ain't no cure for the summertime blues

Gonna take two weeks, gonna have a fine vacation
Gonna take my problems to the United Nations
Well, I went to my congressman, he said, quote
""I'd like to help you son but you're too young to vote""
Sometimes I wonder, what am I gonna do
There ain't no cure for the summertime blues",rock,Summertime Blues Royal Albert Hall,-0.6,0.4,2003
402,Ellen Foley,"You won't tell me that you love me
I've told you so many times, but you won't
Now I can see, if you won't say that you love me
Maybe it's because you don't

Why can't you see how you hurt me
Is my love in vain
I call my pain by your name

You say you don't like blowing smoke
You say it's only words, that’s not what love's about
But now I can see if you ain't blowing smoke at me
That's because the fire is out

Why can't you see how you hurt me
Is my love in vain
I call my pain by your name

I hear your name, the way it rings
It's come to mean so many things
Like loneliness, tears, and misery
Could it be that you don't care
Is there really nothing there
Is there a hole in your heart where love should be
Why can't you see how you hurt me
Is my love in vain
I call my pain by your name",rock,I Call My Pain by Your Name,-0.7,-0.3,2021
403,Van Morrison,"And we'll walk down the avenue again
And we'll sing all the songs from way back when
And we'll walk down the avenue again and the healing has begun

And we'll walk down the avenue in style
And we'll walk down the avenue and we'll smile
And we'll say baby ain't it all worthwhile
When the healing has begun

I want you to put on your pretty summer dress
You can wear your Easter bonnet and all the rest
And I wanna make love to you yes, yes, yes
When the healing has begun

When you hear the music ringin' in your soul
And you feel it in your heart and it grows and grows
And it comes from the backstreet rock & roll and the healing has begun
That is where It comes from

I want you to put on your pretty summer dress
You can wear your Easter bonnet and all the rest
And I wanna make love to you yes, yes, yes
And the healing has begun
We're gonna make music underneath the stars
We're gonna play to the violin and the two guitars
We're gonna sit there and play for hours and hours when the healing has begun

(Spoken:)
Wait a minute, listen, listen
I didn't know you stayed up so late
I just got home from a gig and I saw
You standing on the street
Just let me move on up to this window-sill a lot yeah
I got some sherry
You want a drop of port
Let's move behind this door here
Let's move on up behind this letter-box behind this door
Let's go in your front room
Let's play this Muddy Waters record you got there
If you just open up a little bit
And let me ease on in this backstreet jellyroll

We're gonna stay out all night long
And then we're gonna go out and roam across the field
Baby you know how I feel when the healing has begun

When the healing, when the healing
We're gonna stay out all night long
We're gonna dance to the rock & roll
When the healing when the healing has begun
Baby just let me ease on a little bit, dig this backstreet jellyroll",rock,And the Healing Has Begun,0.8,-0.4,1979
404,Summerhead,"Met you when you were only three
You were the best thing that ever happened to me
Things have changed and it seems obscene
I’ve gotta watch you grow up through this tiny screen

There are things in this world that can never be replaced
There’s a type of hurt that time cannot erase

I’m incessantly thinking of your face
Your smile, your laugh, and all the brilliant things you’d say
Now there’s a distance I can’t breach
She built up a wall around you and pulled you out of rеach

There are things in this world that can nеver be replaced
There’s a type of hurt that time cannot erase

Everything falls apart each day
When I wake up and realize you’re still endless worlds away
I wish I could hold you one more time
Kiss your head and remind you that my love will never die",rock,Tiny Screens,-0.7,-0.3,2021
405,Sorrytown,"[Verse 1]
I remember your face though
I haven't seen you in a while
I remember you defeating pain
All with a soft smile
So calm and collected
As the doctor walked in
To inform your husband
You can't be fixed with medicine
So we got on the highway
Drove to your bedside
So I could hold your hand
While you sat with closed eyes
As the family gathered
For your last thanksgiving
The thought weighed heavy
This life is all we're getting",rock,Shirley,-0.8,-0.5,2016
406,Ben Weasel,"[STAGE BANTER]

ANNOUNCER:  Ladies and gentlemen, the grouchiest man in the world, Ben Weasel!

(Applause)

WEASEL:  Yo!


[SONG BEGINS]

I'm sick of putting you down, pushing you around
I'm tired of making you feel like you are an eel
I tend to open my yap and make you feel like crap
And I think that you oughta kick me out on my ass

'Cause I'm tired of making you cry
(I'm tired of making you cry)
I'm tired of making you cry
(I'm tired of making you cry)
I'm tired of making you cry
(I'm tired of making you cry)
I'm tired of making you cry

Why do you put up with my crybaby shit?
I sit there eating your food, I'm in a bad mood
I'm bored or mad, so I verbally harass you
My way of showing my love, I give you a shove
I suck

Yeah. and I'm tired of making you cry
(I'm tired of making you cry)
I'm tired of making you cry
(I'm tired of making you cry)
I'm tired of making you cry
(I'm tired of making you cry)

I'm tired of making you cry
Tired of being a fly
Tired of wasting your time",rock,Making You Cry live Chicago 2008,-0.8,-0.4,2009
407,Rich Kids On LSD,"Well, it's a feeling so euphoric
Non-stop pleasure slowly creeps from toe to brain
With my multitude of senses
Reality has become my only ball and chain
Well, there's no hippie revelations
Or any cosmic consolations to sustain
I'm still moving through this fantasy
It's time to place your bets
And gamble with me
Don't stop!
I'm taking off from here
Time takes!
Away my petty fears
Kick-back!
Move in my stratosphere
On a ticket straight to where
Ill fate will perforate and disappear
No inhibitions, gliding straight into our fate
The unknown point
Well, your destiny is in my hands
Relax and its your mind I will anoint
Please come with me, no turning back
The time you've spent with us for you are here
'Cause it's a lesson to be learned by those
Who base their actions solely on their fears
Don't stop!
I'm taking off from here
Time takes!
Away my petty fears
Kick-back!
Move in my stratosphere
On a ticket straight to where
Ill fate will perforate and disappear
Back off!
Unless your on this flight
No more!
Crude actions out of spite
Last chance!
To bail out from fright
Hold tight - you might get air sick at my height
Countdown Start... 10,9,8,7,6,5,4,3,2,1...Launch

Well, trailing on a blaze of thriving insight
Straight into the unknown void
Well, I'm watching my reflection be projected
On a piece of celluloid
Deep in the alleys of my mind
I find a dark shadow of the paranoid
But I'll come down to see it's only me
And I hold the master-key",rock,Beautiful Feeling Pt. 3,0.8,0.2,1994
408,12v Negative Earth,"That side of me

Wait, I feel a change
There's something not right inside me

'cause all the anger that I kept inside
And the aggression that I tried to hide
I let it out, regain my pride
That side of me has died
That side of me has died
I'll cheat and I will lie
I won't try, that side of me has died

Some people call me out
I let it go, I keep it all inside
I let it go

Wait, it's not the same
Something's come ovеr me, 1, 2, 3, 4
'cause all the angеr that I kept inside
And the aggression that I tried to hide
I let it out, regain my pride
That side of me has died
That side of me has died
I'll cheat and I will lie
I won't try, that side of me has died
Some people call me out
I let it go, I keep it all inside
I let it go

Wait, there's something strange
Done with this emptiness, 1, 2, 3, 4
'cause all the anger that I kept inside
And the aggression that I tried to hide
I let it out, regain my pride
That side of me has died
That side of me has died
I'll cheat and I will lie
I won't try, that side of me has died",rock,That Side of Me,-0.6,0.6,2004
409,Nacho Gomez Cao,"[Verse 1]
She used to kiss me like no one else
She used to smile, and all my world would change
But like her lipstick, covered in my whiskey
I threw it all away

[Verse 2]
Suddenly, we no longer talked
Partially, quite my fault
Cuz all my demons, tried to catch a glimpse of
Her

[PreChorus]
It all fades away, as the drinks are trying to numb my face
As the girls I’ve been trying to sleep to cover
All the pain

And I blame myself, but I tried to be my best for her
Cuz I loved her more than I could tell
Yeah
[Chorus]
And I’ve been missing out a lot
And I’ve been getting off my way
So sad to see scars so fresh
So sad to see I hit rock bottom

So scared to let the truth be true
So scared of what I’ve said bout you
And I’ve been getting off my way
And I’ve been missing out my ex

I’ve been missing out my ex

[Instrumental]

[Verse 3]
She used to love in so many ways
I closed my eyes, and she always there
But all I did was giving all my love
To songs

[Verse 4]
But as her touch slowly went away
I miss her running naked to my bed
But I was always, trying to be the
Next great thing
[PreChorus]
It all fades away, as the drinks are trying to numb my face
As the girls I’ve been trying to sleep to covered
All the pain

And I blame myself, but I tried to be my best for her
Cuz I loved her more than I could tell
Yeah

[Chorus]
And I’ve been missing out a lot
And I’ve been getting off my way
So sad to see scars so fresh
So sad to see I hit rock bottom

So scared to let the truth be true
So scared of what I’ve said bout you
And I’ve been getting off my way
And I’ve been missing out my ex
I’ve been missing out my ex

[Bridge]
I’ve been missing out my ex
I’ve been missing out my ex now
I’ve been missing out my ex
Missing out my ex
Missing out my ex
Missing out my ex",rock,My Ex,-0.8,-0.4,2020
