,Unnamed: 0,artist,lyrics,tag,title,x_coordinate,y_coordinate,year
0,0,Rich Amiri,"[Intro]
Keep it up, Sharkboy

[Chorus]
I gotta battle my woes, I don't got time for these hoes
I leave that bitch in the O, uh, she gonna give up her throat
Talk about bullshit whenever she hittin' my phone, I sent that bitch to the wall
I made a lil' quarter milli', I didn't even know, I couldn't picture me broke
I know they tryna get rid of me, uh, steady be tryna belittle me
Said I ain't love you, I meant that shit literally, yeah
Most of these niggas be killin' me
Said hе got money, he broke, arе you kidding me? Ayy
I don't think that lil' bitch feelin' me
Went too up, they plannin' on killin' me, yeah
You with me or not? Just riddle me that (Uh)

[Verse]
Toolie gon' hit him and go through his back (Back)
Leavin' him splat (Splat), totin' the GAT, then it's right back to the racks (Blatt, blatt)
Juggin' your sack, ask for it back, now that boy makin' me mad (Makin' me mad)
I'm finna fuck, not finna cuff, I know that bitch is a nat (Bitch is a nat)
.223 put him to sleep, just like he takin' a nap (Okay, let's go)
Brand new lease, got no keys, push it, I'm startin' the Jag' (I'm in that Jag')
Bro from the South and he a demon, I had to tell him relax (Tell him relax)
Runnin' his mouth, talkin' 'bout me, I put them boys on his ass (Okay, let's go)
[Bridge]
Yeah, I get the green, I count up my cash (Cash)
I do not need her, know she a nat
You want a feature? I'm in L.A (Uh)
I went to sleep to dream tabout racks
Lean by the liter, smokin' on 'thrax
He wanna chat, get turnt to a pack (Bow)

[Chorus]
I gotta battle my woes, I don't got time for these hoes
I leave that bitch in the O, uh, she gonna give up her throat
Talk about bullshit whenever she hittin' my phone, I sent that bitch to the wall
I made a lil' quarter milli', I didn't even know, I couldn't picture me broke
I know they tryna get rid of me, uh, steady be tryna belittle me
Said I ain't love you, I meant that shit literally, yeah
Most of these niggas be killin' me
Said he got money, he broke, are you kidding me?
I don't think that lil' bitch feelin' me
Went too up, they plannin' on killin' me, yeah
You with me or not? Just riddle me that (Yeah)

[Outro]
You with me or not? Just riddle me that
You with me or not? Just riddle me that
Ayy, yeah, okay, let's go",rap,Relax,-0.4,0.8,2022
1,1,Lil Calorie,"I’m just an extra
Nobody text yeah
Leave me alone
I’m not special
I’m just an extra
I’m just an extra
I’m just an extra
I’m just an extra

Y’all only got one swoosh yeah I need two
Turn on the flash rainbow shining on my shoes
I can spot all your fakes yeah call me Nancy drew
Call me the CFO cuz I’m bout my revenue

Flex and it’s a GG baby
Never wear no gg baby
In the studio you pay me
Want a feature that’s a maybe

Please Leave me alone you’re crazy
How could someone ever date me
I don’t care if all you hate me
It’s high school and you’re all babies
I don’t care
My nightmare
Please don’t stare
Going nowhere
Just a spare
Another tear
I don’t care
I don’t care

I’m just an extra
Nobody text yeah
Leave me alone
I’m not special
I’m just an extra
I’m just an extra
I’m just an extra
I’m just an extra",rap,Extra,-0.8,-0.2,2020
2,2,Safaree,"(Papi Chuloh)

[?]

Stuntgang

[?]

[Chorus] (Papi Chuloh)
That's when you havin' the most fun
Yeah, that's when you havin' the most fun
[?] man, whip it til you owe one
Ay, yeah, that's when you havin' the most fun yeah
Yeah, yeah, that's when you havin' the most fun
Whippin' the full and [?] tell em' [?] you one
Uh, that's when you havin' the most fun, yeah
Two bad bitches and you are the only one

[Safaree]
Straight
Bad man, run ting, yeah
Not some ting, all ting
Man, then pull up in a Slingshot
Then pop pop them gun shot
Then straight fire them [?] VS
Gimme they, gimme they, gimme they money
Yeah, [        ?       ], and go somewhere sunny
Yeah, we taking it serious, not [?] funny
Straight [      ?      ] and we boss up like dummy
Ha
[Chorus] (Papi Chuloh)
That's when you havin' the most fun
Yeah, that's when you havin' the most fun
[?] man, whip it til you owe one
Ay, yeah, that's when you havin' the most fun yeah
Yeah, yeah, that's when you havin' the most fun
Whippin' the full and [?] tell em' [?] you one
Uh, that's when you havin' the most fun, yeah
Two bad bitches and you are the only one

[Safaree]
Stunt nigga I'm A1
With Bentley nigga that's A1
My shotgun and we all for it
New number me don't call it
Not iMessage, not iCloud, not email, not a DM
Wanna reach me little bitch nigga?
Gotta hit PR [?]
Step on the clutch as I'm hittin' the gears
Notice speed limits so don't interfere
Hittin' my [?] and checkin for deer
And I'm swatting mosquitos, bug in her ear

[Chorus] (Papi Chuloh)
That's when you havin' the most fun
Yeah, that's when you havin' the most fun
[?] man, whip it til you owe one
Ay, yeah, that's when you havin' the most fun yeah
Yeah, yeah, that's when you havin' the most fun
Whippin' the full and [?] tell em' [?] you one
Uh, that's when you havin' the most fun, yeah
Two bad bitches and you are the only one
[Safaree]
Bad man, run ting
Bad man, run ting
Bad man, run ting",rap,The Most Fun,0.5,0.4,2015
5,5,Young Mugz,"[Mugz]
Go head go head go head and jump
Just know there's no net at the bottom,this ain't a stunt
You get more than a bump tryna front on my progress
Im high but not too high to not see the devil in a blue dress
With a pig face and silver badge assassinating
Like Jason Statham hit men killing brown men congratulations
You transformed to a game and played yourself
Tried to put a dome on my dome but I passed yo shelf
Read this book don't judge by the cover
I'm dangerous cause my mind is lethal like Danny glover
And I suffer from rebelling corrupted authority
They mad cause unlike the majority I refuse conformity
And I won't see defeat, victory is kicking up yo feet
Looking down a thousand feet at the ants on the street
I promote change but not the type to act strange
Change to better yourself and do better things

[Hook]
I fall but not too far down
Get up, i gotta swim or I'll drown
That bird wan sing, Mugz baby you're king
That bird wan ring, Mugz don't take the rope and hang
Yourself, too smart, safe guard your heart
Safe guard your heart
[Verse 2: Mugz]
I walked through fire and got burned, what did I learn
That every adult sins and it was just my turn
Ima firm believer in hit your head to keep it up
Cause you was looking down instead of looking up
Hard to see where you going with your eyes closed
You just walking, not realizing it's down the wrong road
Admit I was controlled by hormones and not thinking
Sink or swim my favorite analogy it's no fun when you sinking
Stinking, reaking of bad decisions and weed
My choices brought stress from problems I didn't need
What if I got a seed, it weighs heavy on my mental
A youngin raise a youngin but still I teach him or her the fundamental
Sentimental moment I'm losing myself being being myself
Every bad choice leads to a disintegration of my health
As if I don't got enough underneath my belt
As if the heat I'm taking ain't gon eventually make me melt

[Hook]
I fall but not too far down
Get up, i gotta swim or I'll drown
That bird wan sing, Mugz baby you're king
That bird wan ring, Mugz don't take the rope and hang
Yourself, too smart, safe guard your heart
Safe guard your heart
[Verse : Mugz]
If only I could fly, but no not I
I sing caged bird blues , drink booze, watch life pass me by
I got money but can't afford happiness what could I buy
Maybe a slice of pie or a piece of mind
Who am I, if I can't touch the Sky, a penguin
I taught I saw a putty cat inside brave men
Hoped ya peeped the quotes, they free but in the same boat
They look at me i look them like yeah we both
Lost in the frost of this glacier called earth
Made from dust and dirt but that ain't our worth
If this bird don't sing no bells won't ring
I can't make no hits if I don't at least swing
Its gon rain it's gon rain let it fall like tears
I shed all my fear, through the fog I saw clear
Lend me your ear, let me drop some jewels
You down because you stayed there after you fell
Oh well, I tried to tell ya a smile don't mean shit
They luv the hits but could give a fuck about this
Hurt in my heart , that made this great art
GET GOD ON THE PHONE shit is too hard
Emotionally physically and mentally scarred
Who are you to try to pull my card
Dig up old bones in my backyard
But there's none there I'm way too clean
I put it all on these beats the SHIT I did and seen

[Poem]
The noose of life struggles will choke you
The hatred and envy of enemies will provoke you
But baby, remember what I told you
We gon be alright
When things go left, god will show you right
Ventilation will your revelation when you write
In dark he will be your light, in pitch black he will shine bright
We gon be alright",rap,That Bird,0.6,0.4,2016
6,6,Miilkbone,"[Verse One]
I want crew's participation
In the strangulation of a nation
Concentrate and make fire stations die of smoke inhalation
A confrontation with more organization is complication
You better start looking for some new occupation
I slip the Reeboks on my feet and hit the street
You want beef, the top of your physique will hit the concrete
I rap like Iraq and bomb like Saddam
Rock a spot on your block that your clique's clocking on
A lot of little brains and names are flaming out the middle
So if wack attracts fire you're a heat seeking missile
A pillow cushion on your face and now your souls in control
Ate your soul, watch me put holes in your South Pole
I fill up coffins every so often
I wanna go to Heaven but Hell's closer and I hate walking
So M double I.L.K. will represent
The hip hop is hotter than sex inside a leather tent

[Hook] {x2}
""We were beginners in the hood, and my mentality is, keeping it real, packing steal, getting high"" - AZ 'Life's A Bitch'
""High like an eagle"" - Seal
[Verse Two]
I'm comfy cozy more Pussycats than Josie
White man on stepping on Ini Kamoze jumping rosey
40 below South Pole's and nine millis
On a cold corner looking silly like Chilly Willy puffing on Phillies
So breaker 1-9, break it down
I get rugged as a rapist in a naked ass town
Now set it off, breaking down doors, know we're knocking
Chop off your head and sent your neck shoulder shopping
And for beginner wanna tried to the winner
I'ma make Jeffery Dahlmer take your mama out to dinner
I turn your posse to a pretzel and make ends meet
You're good as a crossing guard on a dead end street
So fuck everybody who don't walk a hot block
With your Glock's cocked out to pop cops, knicky knock knock
We at the hip hop chop shop ready to stop crops from growing
I'm flowing, showing more stars than Rock N Jock

[Hook]

[Verse Three]
Now everybody knows I do more dirt than shovels
Psychotic skills leaving puddles
Of everything from muscles to knuckles
I claim pain, razor blade rain hitting your brain
And now we harder than sniffing frozen cocaine
You rapping robots are liars
I'll take the hot pliers out the fire
Stick 'em and pull out the wack wire
See the perception I be stressing is protection
I'm so bad I make girls vaginal section get erection
With perfection, you wanna race me than chase me
Your punk ass crews couldn't face me if ya maced me
So back up and let me move, I got a bloody point to prove
On a violent vibe and ready to groove
I'll do the dirty deeds and kill thirty thieves
Heard the others came back when your boys heard me leave
Now I read the law, break it down, either or
On the real, shining steal, keep it real, keep it raw
[Hook]",rap,Keep It Real Remix,-0.3,0.7,1995
10,10,Hiesse,"[Verse1]
Some meditate, some call it prayer
Some medicate, some pray for saviors
Some put in work, some call in favors
Don't call it luck, it's the fruit of my labor

No hand outs, no hand outs, unless they have something to gain
No I'm not sharing my earnings, unless you've been sharing my pain
I don't know how to ask for help, always thought that shit was vane
I don't know anyone who's safe, Everybody needs saving

Everybody's been slaving
To get a piece of that cake
They don't know how to behave when
It's time to get the mix to bake

[Chorus]
Stay Sleep, or get woke, get rich, or stay broke
Got faith, we got hope, you don't want no smoke smoke smoke
So get with the wave or get soaked, please do not get us provoked
Lions and tigers and bears, that stick best not poke poke poke
Stay Sleep, or get woke, get rich, or stay broke
Got faith, we got hope, you don't want no smoke smoke smoke
So get with the wave or get soaked, please do not get us provoked
Lions and tigers and bears, that stick best not poke poke poke

[Verse 2]
How Long should I wait
I've been going up the stairs
Taking time to elevate
Far away from the stares

Far away from the crowd
It's why I stay away from elevators
Far away from the clout
It's why I stay away from asking favors

Yeah I Know how it goes
Scratch my back, I'll scratch yours
When it's time to scratch mine
All I see are shut doors

Acting like Harvey Dent
Y'all Two-Face with the words
Your Best side is a front
Your real side is your worst
[Chorus]
Stay sleep, or get woke, get rich, or stay broke
Got faith, we got hope, you don't want no smoke smoke smoke
So get with the wave or get soaked, please do not get us provoked
Lions and tigers and bears, that stick best not poke poke poke

Stay Sleep, or get woke, get rich, or stay broke
Got faith, we got hope, you don't want no smoke smoke smoke
So get with the wave or get soaked, please do not get us provoked
Lions and tigers and bears, that stick best not poke poke poke",rap,Lions and Tigers and Bears,-0.3,0.5,2019
11,11,Dj hughes,"Lionhartdan:hey sis you sure you know what your talkin about calling my iq and fans stupid look in a mirror you big disgrace of life you have no friends Take the L Loser yayayeet lol Remer

Avery:I'm haydens sister number 0 saying my sister's Boyfriend is shit your the shit around here you big NOOB

Hayden: my sister is right big fat NOOB lose some weight for once in a life time God your such a peace of shit bitch lasagna yayeet

Daniel: my sister is done with you mother fudger yeah I'm cusing because your excusing to much bitch

Geniveive: ha your so dumb all I do is use you for friends but I can't no more cuz you have no friends lol TAKE DOWN",rap,Diss on my sis,-0.6,0.8,2019
12,12,King_isaiahhh,The king is back you missed me this for all these hoes who dissed me I am back at it again I am a champion with god flow but that's only a feeling me and kanye know and Kendrick and all you other rappers and you fake trappers where you from? They ask im from Baltimore they city where they show no pity where they run up on you shoot you 5 times tike you biggie no biggie we used gunshots is nothing but if shots rang out you better start ducking cause im going to be the one bussing. I shouldn't even be here I don't how many times I wanted to quit but I realized my only way out was to spit I got a AK all that shit do is spray spray so all better pray pray that them boys don't come and snatch your baby its crazy around here word to the unknown let the truth be told im only doing this for gold and so I can go on the road do hella shoes make my mama happy make my dad smile. They barking im barking they said a lil yo go run in the house and grab the strap I did that put his head back *click clack* BANG!! nigga,rap,King me,-0.2,0.5,2015
13,13,Nightingale_RUS,"[Intro]
Yeah
Nightingale is here
Listen...
Do you really believe in everything you see in Instagram? Oh, shit...
Yeah

[Verse One]
I’ma catch-potato, wanna know how I spend a day?
Surfing Instagram on my Apple phone - no way!
I think in this way I’m visualizing something
But the truth is that I’m simply doing nothing
Pretending being rich and wealthy, blowing flour but still healthy, always draped in something classy, behind the wheel of Maserati, hanging heavy Louie bags hella full with money bands, living in a penthouse which is higher than the clouds
Yeah
That’s my thoughts I’m lying and scrolling the feed
Yeah
I’ve never fought, but despite this I suffer defeat
Yeah
Rap game, for me it is still something new
No refrains in this track
But why, I got no clue
[Bridge]
This story is sad, cause Insta-dreams are fake
I’m getting hella mad, there are some actions to take

[Verse Two]
As an employee I’ve earned some funny money
Yeah
Never invested it, but felt like Axelrod Bobby
Spent a half on my Stans which are white and green
A couple of kickz is worth of fucking routine
My Instagram is opened on pages of business bloggers
Bentleys at the background , they all draped in suits and loafers
Double tap on their pictures the only thing that I do
Instead of building my life I flush the time down the tube
Yeah, ugh

[Outro]
People, please, don’t repeat my mistakes!
Yeah, Nightingale",rap,Insta Dreams,-0.6,-0.5,2019
14,14,JAYKakashi,"[Intro]
Okay

[Chorus]
Shut up
Shut up
Shut up
Shut up
Shut up
Shut up
Shut up

[Verse]
R.I.P. to X-tending my will to fucking live and
Birthing Prod. Jay, so I'm grateful, this is for him

[Chorus]
Shut up
Shut up
Shut up
Shut up
Shut up
Shut up
Shut up
[Verse]
If you don't like me, I couldn't be less
Fucking bothered, you're clapped and you're fucking shit",rap,SHUT UP,-0.9,0.8,2020
