title,tag,artist,year,views,features,lyrics,id,language_cld3,language_ft,language
Pilot Of The Storm,pop,The Poodles,2009,152,{},"The sun here is merciless
It beats upon my face like rain in the desert sand
The world is in a different shine
And my usual preferences do not rhyme

And this magic light I have seldom seen
Like a hidden treasure in a dream
I know that I am a stranger too
In this Shangri-la I reach for

You and all that you do
In starlit skies I ride with angels
You make it come true
Even though my bones are dry and torn
My pilot of the storm

Across the sea of years
Under blood red skies
We ride on the trail of tears

And this magic light I have seldom seen
Like a hidden treasure in a dream
I know that I am a stranger too
In this Shangri-la I reach for
You and all that you do
In starlit skies I ride with angels
You make it come true
Even though my bones are dry and
A bad moon rose when I was born
Now it's time to lose my crown of thorns
My pilot of the storm

If I summon all what I have learned
I sit and watch the pages burn
I know that I am a stranger too
In this Shangri-La I reach for

You and all that you do
In starlit skies I ride with angels
You make it come true
Even though my bones are dry and torn
My pilot of the storm",1651311,en,en,en
Gorgeous,pop,ICE (USA),2015,20,{},"Gorgeous little baby
You make me wanna fly
I'm spinning like a shooting star
Falling thru the sky
Gorgeous little baby
You make me wanna fly
I'm spinning like a shooting star
Falling thru the sky

Gorgeous little baby
You make me wanna fly
I'm spinning like a shooting star
Falling thru the sky
Gorgeous little baby
You make me wanna fly
I'm spinning like a shooting star
Falling thru the sky

Gorgeous little baby
You make me wanna fly
I'm spinning like a shooting star
Falling thru the sky
Gorgeous little baby
I'd do anything for you
Gorgeous little baby
I know you'll get me thru
Gorgeous little baby
You make me wanna fly
I'm spinning like a shooting star
Falling thru the sky
Gorgeous little baby
I'd do anything for you
Gorgeous little baby
I know you'll get me thru",1171735,en,en,en
The Worst Is yet To Come,pop,Slut,2021,56,{},"[Verse 1]
Breakin' it up, breakin' it up
And let them bridges that we burned
Become lessons we have learned
Crackin' it up, crackin' it up
Let the blood down your feet
On an empty street
Givin' it up, givin' it up
And let them tears become a sea
Between you and me

[Chorus]
If the worst is yet to come
Let's leave the crucial parts all smokin' and undone
So let them tears become a sea
To swim across along the way that leads us back to you and me

[Post-Chorus]
Whеn is the worst is yet to come
Whеn is the worst is yet to come
When is the worst is yet to come
[Verse 2]
Crackin' me up, crackin' me up
And let them pictures that we burned
Become lessons we have learned
Back it all up, back it all up
I put the world on my back
I took away them heavy-weight pieces of the track

[Interlude/Bridge]

[Chorus]
If the worst is yet to come
Let's leave the crucial parts all smokin' and undone
So let them tears become a sea
To swim across along the way that leads us back to you and me

[Outro]
I guess is the worst is yet to come
I guess is the worst is yet to come",6957942,en,en,en
Last of the Ghetto Astronauts,pop,Matthew Good Band,2015,93,{},"It gets dark around here early
Sometimes the Moon, it follow you in the middle of the day
Waiting to be found, we were just standing around
With nothing really much to say

I didn't know any better
You didn't think that we should
Said we're gonna burn down the night
I wanna be misunderstood
All four wheels across the pavement
We used to live in black and white
I only think about tomorrow
So it'll get me through the night

And I ain't laughing
And I ain't joking anymore
I keep my footsteps to the ground
I keep my eyes glued to the floor
And somewhere in between
Only in the Stalin's dream
On this side of midnight
And maybe we're just crazy
Maybe we're better off dead
Maybe things will never change
Maybe you've got it backwards in your head
The last of the Ghetto Astronauts won't be ignored
Said I'm gonna go where no one has gone before
Said I'm gonna go where no one has gone before

It gets dark around here early
Sometimes there's more to the Moon
Then just one man can see
The voice without a name
Cries silent just the same
Just the same way

If I didn't know any better
I'd say that maybe we all should
When the morning comes around
Don't wanna be misunderstood
Sleeping on the pavement
Thinking everything's all right
Waiting for tomorrow
To get us through tonight

And I ain't laughing
And I ain't joking anymore
I keep my footsteps to the ground
I keep my eyes glued to the floor
And somewhere in between
Only in the Stalin's dream
On this side of midnight
And maybe we're just crazy
Maybe we're better off dead
Maybe things will never change
Maybe you've got it backwards in your head
The last of the Ghetto Astronauts won't be ignored
Said I'm gonna go where no one has gone before
Said I'm gonna go where no one has gone before

Been walking with the giants
Been sleeping in a town without a name
Been holding on to your arms and legs, your arms and legs
'Cause nobody here wanna put you back together again
Together again, together again, together again

And maybe we're just crazy
Maybe we're better off dead
Maybe things will never change
Maybe you've got it backwards in your head
The last of the Ghetto Astronauts won't be ignored
Said I'm gonna go where no one has gone before
Said I'm gonna go where no one has gone before
No one, no one",845323,en,en,en
Deep Inside My Heart,pop,Jamie Rivera,2003,30,"{""Robert Sena""}","Deep inside my heart
I know that I can see
A different kind of me
Beyond the dreams I dreamed
Deep inside my heart
I know that I can hear
A different kind of voice
So gently telling me that
Deep inside I know
I can touch so many hearts
And deep inside I know
I can proclaim your endless love
You let me see, you let me be
You let me hear the songs of mercy
You let me touch, you let me speak
You let me feel your lovе around me
For the call you have for mе, inspires me
To give my all humanity
So you can be me
Deep inside my heart
I know that I can pray
I can gaze at heaven
And I can see your face
Deep inside my heart
I know that I can give
The little that is me
You take it and you say that
Deep inside I know
I need not be afraid
And deep inside I know
You are with me all the way
You let me see, you let me be
You let me hear your songs of mercy
You let me touch, you let me speak
You let me feel your love around me
For the call you have for me, inspires me
To give my all humanity
So you can be me
Let my weakness be your strength
O let my courage stand from your graves
Let your mother be my song
As I rejoice
As I praise you
As I go forth today
You let me see, you let me be (you let me be)
You let me hear your songs of mercy
You let me touch
(You let me touch) you let me speak (you let me speak)
You let me feel your love around me
For the call you have for me, inspires me
To give my all humanity
So you can be me
To give my all humanity
So you can be me",6501025,en,en,en
She Lives By Night,pop,Nunslaughter,2003,183,{},"She thirsts for blood
The passion in my dreams
A sanguine taste
Pleasure so extreme
I await the bite
And say that I am well
But in my heart
I am on my way to hell
Now I feel the power
Rush into my mind
The knowledge of death
From the start of time
I use and love
This wicked cunt
To possess the rights
She lives by night
Deep down in her grave at night
She walks below the land
Gathering victims to her breast
A lurid conquest of man
Shadow in the black of night
I follow religiously
Giving myself unto her
As she feeds on me
She lives by night",1354221,en,en,en
Silver Felt,pop,Loch Lomond,2016,287,{},"[Verse 1]
When you first pushed right up to me
With hands like silver felt
I would cut straight through this world
Like arrows hitting trees
With all the heat tucked out of me
I can look away
You drop
Just like a rock
Hands like silver felt

[Hook]
Beyond my reach (say hello)
Beyond my reach (say hello)
Beyond my reach (say hello)

[Verse 2]
When you last marched away from me
Cold eyes like silver bells
And I was travelling 'round the world
With marrow on my teeth
And all that heat shot into me
I won't look away
You drop
Just like a rock
Eyes like silver bells
[Hook]
Beyond my reach (say hello)
Beyond my reach (say hello)
Beyond my reach (say hello)

[Outro]
Say hello
Say hello
Say hello
Say hello
Say hello
Say hello
Say hello
Say hello
(Say hello)",2979613,en,en,en
Broken Wing,pop,Evil,2021,715,{},"[Verse 1]
I could seek vengeance on broken wing
But if I had to choose it would still be you
And you'd do whatever I wanted you to
Who else can I trust?
Who else cares this much?
Who else can say words that make me feel loved?
But I'm stuck in my silence again

[Chorus]
Who am I?
Sitting around thinking same old thoughts, who am I?
Tragically lost in forget me nots, who am I?
To sit, idly by
Hoping that you would change my life, who am I?

[Verse 2]
Fear on my fingers and hate on my tongue
I trace words in cursive hoping they could be enough
Condemn me in my most righteous form
For I have been weak in the eyеs of the Lord
The Devil's known to tеmpt angels with apples and nothing more
[Chorus]
Who am I?
Sitting around thinking same old thoughts, who am I?
Tragically lost in forget me nots, who am I?
To sit, idly by
Hoping that you would change my life, who am I?",6760676,en,en,en
Creature Of Night,pop,Zombie Girl,2007,96,{},"I am alone here in darkness
I embrace the night
Staring up at the sky
I can't help wonder why
Nobody's daring to love me
Cause what I am
A creature of the night
I've never seen the light

Please help me understand
Why I have to be all alone?
Why can't somebody love me?
Please come and set me free
I will be here for you take care
Of you through all the nights
Why can't somebody love me?
Please come and set me free

I am a creature of night
No love for me inside
I am a creature of night
There's no love for me inside
I will be lost here forever
Underneath the stars
Waiting for the one
Before the rising sun
It's getting colder
Inside her smolder
And all I hear them say
Is evil eyes within her

Please help me understand
Why I have to be all alone?
Why can't somebody love me?
Please come and set me free
I will be here for you take care
Of you through all the nights
Why can't somebody love me?
Please come and set me free

I am a creature of night
No love for me inside
I am a creature of night
There's no love for me inside

I am a creature of night
No love for me inside
I am a creature of night
There's no love for me inside
Colder...
Smolder...",4199975,en,en,en
​i need to say goodbye.,pop,Mive,2021,23,{},"I don't want to try
Because I need to say goodbye
I dont want to think
I dont want to live
Can you here my breath?
Because its the last song of my fucking life",6617717,en,en,en
