,title,tag,artist,year,x_coordinate,y_coordinate
1200,Something in the Water,country,Pokey LaFarge,2015,0.7,0.9
1201,The Last Event,country,Matthew Ryan,2019,-0.8,-0.5
1202,Friends With The Enemy,country,Poor Man's Poison,2011,-0.8,-0.3
1203,Sleepin With the Radio On,country,Charly McClain,1981,-0.8,-0.3
1204,Riders in the Sky,country,Michael Martin Murphey,1993,-0.8,-0.5
1205,Close Your Eyes,country,Dan + Shay,2014,0.6,-0.4
1206,Taking A Chance On The Truth,country,The Infamous Stringdusters,2010,0.9,0.2
1207,Poor Mans Cocaine,country,Channing Wilson,2012,-0.6,0.5
1208,Its Been Done,country,The Oak Ridge Boys,1976,0.8,-0.5
1209,John Doe No. 24 Live - One Night Lonely,country,Mary Chapin Carpenter,2021,-0.7,-0.3
1210,In The Garden,country,Alan Jackson,2006,0.9,-0.2
1211,Stardust,country,Horseshoes & Hand Grenades,2020,-0.7,-0.3
1212,Big Mistake,country,Honeyhoney,2018,0.7,0.9
1213,Feels Like Country Music,country,Jon Wolfe,2019,0.6,-0.4
1214,The Elegant Impostor,country,"Bobby Bare, Jr.",2014,-0.3,-0.7
1215,Heart,country,Reba McEntire,1994,-0.7,-0.3
1216,Fire  Rain,country,Blake Henderson,2022,0.7,0.6
1217,Apes In A Daydream,country,Birdtalker,2021,-0.3,-0.7
1218,Andrew,country,Ezra Bell,2021,-0.8,-0.3
1219,Young Blood,country,Hunter Hayes,2016,0.3,0.7
1220,One of the Boys,country,9 to 5 Original Broadway Cast,2009,0.9,0.6
1221,One of Them Nights,country,Chris Young,2021,0.9,0.6
1222,Howdy,country,Chris Lane,2022,0.3,0.7
1223,Sugarland,country,Sugarland,2006,0.6,-0.4
1224,I Shall Wear A Crown,country,Gaither Vocal Band,1995,0.9,-0.2
1225,The Best of Me,country,Toad the Wet Sprocket,2021,0.8,-0.5
1226,Patches,country,George Jones & B.B. King,1994,-0.7,-0.3
1227,Little More You,country,Josh Abbott Band,2019,0.3,0.7
1228,Summercamp,country,The Infamous Stringdusters,2014,0.6,-0.4
1229,Chubby Chubby,country,Barry McGuire,1977,-0.8,-0.5
1230,She’s Out of My Life,country,Willie Nelson,1984,-0.8,-0.3
1231,Cowboys Dont Get Lucky All the Time,country,Gene Watson,1978,-0.3,-0.7
1232,Pontoon Boat,country,Sunny Ledfurd,2007,0.8,-0.5
1233,You Always Hurt The One You Love,country,Brenda Lee,1962,-0.7,-0.3
1234,Accidental Racist,country,Brad Paisley,2013,0.9,0.2
1235,Ten Years Of This,country,Gary Stewart,1977,-0.8,-0.1
1236,Twilight Time,country,Willie Nelson,1988,0.9,-0.2
1237,Famous Last Night Words,country,Sarahbeth Taite,2021,-0.7,-0.3
1238,Wonderful Tonight,country,Ronnie Dunn,2019,0.7,0.6
1239,Bible in a Drawer,country,The Scarring Party,2013,-0.7,-0.3
1240,Talk About the Good Times,country,Elvis Presley,1974,-0.7,0.6
1241,Ill Be Your Fool,country,Joe Ely,1978,-0.3,-0.7
1242,I Dont Hurt Anymore,country,Martina McBride,2005,0.8,0.3
1243,Time Burns On,country,Yarn,2010,0.1,-0.7
1244,This Land Is Your Land,country,Wanda Jackson,1969,0.9,0.2
1245,The Lady Came From Baltimore,country,Johnny Cash,1975,-0.8,-0.5
1246,Amys Eyes,country,Charley Pride,1989,-0.8,-0.3
1247,Big Truck,country,Dillon Carmichael,2021,-0.7,0.3
1248,Long Live The Night,country,The Reklaws,2018,0.6,-0.4
1249,Hell of a Woman,country,Nick Santino & the Northern Wind,2013,-0.7,0.3
1250,Storm Prayer re 3 songs,country,DEEP FEMME,2017,-0.4,0.7
1251,It Started All Over Again,country,Vern Gosdin,1977,-0.3,-0.7
1252,Snoky Mountain Memories,country,Mel Street,2022,0.6,-0.4
1253,I Think I  Might,country,RiFF RAFF,2019,-0.7,0.3
1254,Stars,country,Alison Krauss & Union Station,2001,-0.8,-0.5
1255,Bubbas Blues,country,My Bubba,2019,-0.7,-0.3
1256,Some Sweet Rainy Day,country,Sloppy Henry,1929,0.8,-0.5
1257,Loves Raining Down,country,Deer Creek Boys,2017,0.8,-0.5
1258,Til I Kissed You,country,Anne Murray,2002,0.2,1.0
1259,Playing After Dark,country,Peggy Sue (Country),1970,-0.4,0.7
1260,Come Early Mornin,country,Buddy Miller,2016,0.9,-0.2
1261,You Cant Make This Up,country,Blake Shelton,2016,0.2,1.0
1262,Coal Black Heart,country,Annie Bosko,2015,-0.6,0.7
1263,Song of the Bandit,country,Marty Robbins,1960,-0.7,-0.3
1264,Silent Night,country,Gloriana,2009,0.8,-0.5
1265,The Graceland Horses,country,Jim Lauderdale,2019,0.6,-0.4
1266,Backwoods Barbie,country,Dolly Parton,2008,-0.3,-0.7
1267,Send Me No Roses,country,Tommy Overstreet,1973,-0.8,-0.3
1268,When Its My Time,country,Rodney Atkins,2009,0.8,0.3
1269,Into the After,country,Horace Pinker,2011,0.1,-0.7
1270,Someone Before Me,country,Loretta Lynn,1966,-0.7,0.3
1271,Pale Fire,country,Amanda Shires,2016,-0.8,-0.5
1272,She Aint Going Nowhere,country,Steve Earle,2019,-0.3,-0.7
1273,Ill Be Your Man,country,Thomas Mac,2017,0.7,0.9
1274,The Prisoners Song,country,Vernon Dalhart,1924,-0.8,-0.3
1275,Good Old Days,country,JB And The Moonshine Band,2010,-0.7,-0.3
1276,Everybody Dies,country,The Goddamn Gallows,2007,-0.6,0.7
1277,Not Enough Love to Go Round,country,Conway Twitty,1987,-0.4,0.7
1278,Come Find Me,country,Alabama,2015,-0.8,-0.3
1279,Death,country,NQ Arbuckle,2014,-0.4,0.7
1280,It Comes And Goes,country,Johnny Cash,1978,-0.7,-0.3
1281,Oh Id Like To Go Away,country,The Everly Brothers,1991,-0.3,-0.7
1282,The Most Sensible Thing,country,Angry Grandpa,2015,-0.8,-0.5
1283,Silvertown Blues,country,Mark Knopfler,2000,-0.3,-0.7
1284,I Know A Wall When I See One,country,Toby Keith,1999,-0.7,-0.3
1285,Oklahoma Sunshine,country,Waylon Jennings,1974,-0.7,-0.7
