,Unnamed: 0,title,tag,artist,year,x_coordinate,y_coordinate
0,0,Relax,rap,Rich Amiri,2022,-0.4,0.7
1,1,Extra,rap,Lil Calorie,2020,-0.8,-0.3
2,2,The Most Fun,rap,Safaree,2015,0.7,0.9
3,3,California,rap,Vanilla Taurus,2018,-0.7,0.6
4,4,Free Thinking,rap,ProduceKyro,2021,0.3,0.7
5,5,That Bird,rap,Young Mugz,2016,-0.2,0.7
6,6,Keep It Real Remix,rap,Miilkbone,1995,-0.4,0.7
7,7,Dolla Signs and Palm Trees,rap,Dashboard Danny,2021,-0.8,-0.5
8,8,You,rap,Hailey B,2016,-0.7,-0.3
9,9,ISSA FUNERAL,rap,SCTHECARDINAL,2017,-0.6,0.7
10,10,Lions and Tigers and Bears,rap,Hiesse,2019,-0.6,0.7
11,11,Diss on my sis,rap,Dj hughes,2019,-0.6,0.7
12,12,King me,rap,King_isaiahhh,2015,-0.4,0.7
13,13,Insta Dreams,rap,Nightingale_RUS,2019,-0.7,-0.7
14,14,SHUT UP,rap,JAYKakashi,2020,-0.6,0.7
15,15,Ghetto Apostles,rap,Shabazz the Disciple,1998,-0.4,0.7
16,16,Hanh,rap,Dot Dot Curve,2008,-0.6,0.7
17,17,Word to Spread,rap,The Funk Hunters & Chali 2na,2016,-0.7,0.3
18,18,Growth,rap,Sami-Kaie,2019,0.9,0.2
19,19,DROPTHESAUCE,rap,PrxdDaGxd,2017,-0.4,0.7
20,20,Gun Emoji Bang,rap,Gensu Dean & Denmark Vessey,2018,-0.6,0.5
21,21,BUDDAH ARMS,rap,Thouxanbanfauni,2022,-0.7,0.3
22,22,Graduation333,rap,Majoraeclipse,2021,-0.6,0.5
23,23,Lasting,rap,DAJ,2018,0.3,0.7
24,24,No Offence,rap,Tobbz,2019,-0.6,0.5
25,25,1994 Freestyle,rap,Young Social,2016,-0.8,0.1
26,26,In The Field Again,rap,FORTYTEN,2019,0.7,0.9
27,27,Exodia,rap,Tori2x,2022,-0.4,0.7
28,28,Joy to the World,rap,Shama Mrema & PD Bachmann,2019,0.9,-0.2
29,29,​​thelifestyle,rap,Eli juggz,2021,0.9,0.6
30,30,Ratchita,rap,Ty-Mitch,2020,0.3,0.7
31,31,Backseat Freestyle,rap,DJ Critical Hype,2018,0.3,0.7
32,32,102.1 Jamz Freestyle,rap,J. Cole,2009,0.3,0.7
33,33,Sewed Up,rap,Q Da Fool,2018,-0.4,0.6
34,34,Where You Been,rap,BrvndonP & Mission,2017,0.7,0.9
35,35,Life is Beautiful,rap,Parsa,2019,-0.8,-0.1
36,36,Used To,rap,Skr1ter,2020,-0.7,0.6
37,37,Untitled feat. Yung Kayo,rap,KILLY,2019,0.9,-0.2
38,38,The Marijuana Song,rap,A.K.Nash,2016,0.3,0.7
39,39,Space,rap,Asher Roth,2012,-0.7,-0.7
40,40,Tales Of Women,rap,Akua Naru,2012,-0.8,-0.3
41,41,Gods Will,rap,William Pippins,2018,-0.8,-0.5
42,42,Peppa.exe vs Sonic.exe,rap,Animation Rewind,2020,-0.6,0.7
43,43,Stormy Weather,rap,303BAM,2021,0.9,-0.2
44,44,What You Know,rap,Soulja Boy,2009,-0.2,0.7
45,45,Chopsticks,rap,Almighty Jay,2017,-0.4,0.7
46,46,Searle St Serenade,rap,D'Meetri,2019,-0.7,0.3
47,47,Like You,rap,Figure Flows,2017,0.9,-0.2
48,48,21 Answers,rap,Lil' Mo,2013,0.7,0.9
49,49,Fake Me,rap,Triple A,2018,0.8,-0.5
50,50,Mindframe,rap,Toddi,2017,0.6,-0.4
51,51,Kings Bread,rap,Yung cash register aka lil broomstick,2018,-0.4,0.7
52,52,Astronaut In The Ocean Remix,rap,Vojtech Cekal,2021,0.7,0.9
53,53,Shining,rap,Movvy,2020,-0.8,-0.5
54,54,Collapse,rap,HeyMrNoOdLeS,2019,-0.8,-0.3
55,55,Monster,rap,D-Lo116,2021,-0.2,0.7
56,56,Spacing,rap,Gidii,2019,-0.7,-0.3
57,57,This Cant Be Happening Intro,rap,Us3rn4mee,2021,-0.8,-0.1
58,58,Dolce  Gabbana,rap,PD,2021,0.7,0.9
59,59,The Cipher,rap,Lord Jamar,2006,0.0,0.0
60,60,Windmill Cancer Survivor,rap,Beans,2019,0.7,0.6
61,61,Monkey Ish,rap,Stalley,2014,-0.6,0.5
62,62,Fight Or Win Single,rap,Kimo's,2020,-0.6,0.7
63,63,Double Up,rap,Sylence 100,2020,0.7,0.9
64,64,Up,rap,Yung Mavu,2020,0.3,0.7
65,65,VVS Remix,rap,Lil Skittles,2019,-0.6,0.5
66,66,Intro Skit,rap,Lil Oli,2021,-0.8,-0.3
67,67,NINA SIMONE,rap,BabyDaiz,2021,0.0,0.0
68,68,Too Much,rap,Barry Allen,2016,-0.7,-0.7
69,69,Paid the Fine,rap,"Young Stoner Life, Young Thug & Gunna",2021,0.0,0.0
70,70,The Brink,rap,Nate Nics,2021,-0.6,0.5
71,71,Uptown Interlude,rap,Lord Stunnah,2018,0.0,0.0
72,72,A Lot,rap,Brazen-Faced,2020,-0.4,0.7
73,73,ENDZ,rap,BLV CLOVDS,2020,-0.7,0.6
74,74,Ode2edith,rap,Skoobers,2020,-0.3,-0.7
75,75,Stamina,rap,Zoocci Coke Dope,2017,0.3,0.7
76,76,What Is Understood,rap,P-Tree,2021,0.0,0.0
77,77,Got It,rap,Lil Karat Stixx,2020,0.9,-0.2
78,78,Drugz,rap,DopeSMOOTHIES,2020,-0.8,-0.5
79,79,Stop Playing,rap,Blaze Coleman,2018,-0.6,0.5
80,80,Last Time,rap,Kill The Vultures,2015,-0.7,-0.3
81,81,White barz,rap,Peter Sorensen,2013,-0.6,0.5
82,82,Big Blanco,rap,Tu Blanco,2020,0.3,0.7
83,83,My Lifes Rapture,rap,Ghwttogabe,2020,-0.7,0.6
84,84,Ima Ball,rap,Kalan.FrFr.,2021,0.7,0.9
85,85,Drako  vs undead_slayer,rap,Dr@k01387,2019,-0.6,0.7
86,86,Wanting more,rap,Matthew Collis,2018,0.0,0.0
87,87,203,rap,MI$FIT NIZZY,2018,0.7,0.9
88,88,Heartfelt,rap,Roney,2020,-0.7,0.3
89,89,Soul,rap,Silas,2021,-0.8,-0.1
90,90,Ghost Stories Part 1,rap,Styles P,2005,-0.2,0.7
91,91,Inalude,rap,Sica,2021,0.8,-0.5
92,92,Trouble,rap,Sheperd,2017,-0.6,0.7
93,93,Private Party,rap,Arhinslim,2020,-0.6,0.5
94,94,Food Trucks,rap,T-K.A.S.H.,2017,-0.6,0.7
95,95,Old Skool,rap,Kosh,2018,0.7,0.9
96,96,Mrs. Lynch Your Son Is The Devil,rap,IDK,2017,-0.7,-0.3
97,97,Not Having It,rap,Clover,2019,0.7,0.9
98,98,ZEALOT,rap,Sonya June,2019,-0.6,0.7
99,99,Tha Bachelor,rap,POP STUNNA,2021,0.3,0.7
100,100,138,rap,Tnb clipper,2021,-0.6,0.5
101,101,The christmas rap,rap,Pye green valley,2012,0.6,-0.4
102,102,IMPURITY,rap,Sai (@off.sai),2020,-0.4,0.7
103,103,Knife Talk Sessions,rap,Wayne Rama,2021,0.7,0.9
104,104,Kasies Vibe,rap,Kasie,2020,-0.6,0.5
105,105,Bugs Bunny Flow,rap,SBL Jeremiah,2021,0.3,0.7
106,106,Reader  Writer,rap,Teejayx6,2019,-0.4,0.7
107,107,Deh Suh Remix,rap,Yizzy,2019,0.7,0.6
