,title,tag,artist,year,x_coordinate,y_coordinate
300,Worth it,rb,Lhomelessm,2021,0.3,0.7
301,Shawty on fleek,rb,Radio Rell,2015,0.3,0.7
302,Mortia,rb,Prey (preye_itams),2015,0.6,-0.4
303,Udue,rb,Waje,2018,0.9,0.6
304,Be By Myself,rb,Janine,2018,-0.6,0.5
305,It’s the Love,rb,Carl Anderson,1984,0.3,0.7
306,Circles,rb,R.LUM.R,2019,-0.3,-0.7
307,Fallin’ in Love,rb,RUSSELL!,2022,0.9,-0.2
308,Im Right This Time,rb,AOE,2017,-0.8,-0.3
309,Top Down,rb,Angela Muoz,2020,0.3,0.7
310,Codeine love,rb,Gavin Whyte,2021,0.8,-0.5
311,I Use,rb,Nylo,2015,-0.7,-0.3
312,BLVCK VINYL,rb,Judgement Of Yesterday,2014,0.1,-0.7
313,I love hating you,rb,Savage Rapscallion,2021,-0.7,0.6
314,Wave,rb,Svn. The. Singer.,2016,0.3,0.7
315,Imagine Your Body,rb,Ailani,2021,0.3,0.7
316,Silent Sounds,rb,Realnev,2022,-0.7,-0.3
317,Love Will Find A Way,rb,Inez Richardson,1921,0.9,0.6
318,Shot,rb,Lawrence,2016,-0.7,0.6
319,So Bad,rb,Lil Mosey,2016,0.3,0.7
320,Trippin,rb,IndigoChildRick,2020,0.3,0.7
321,Out in the Country,rb,Bobby Taylor,1969,-0.8,-0.3
322,Lost a Good Girl,rb,John Lee Hooker,1962,-0.8,-0.1
323,My Only One,rb,Your Grandparents,2019,-0.7,0.6
324,​put in the grave,rb,czyby,2020,-0.6,0.5
325,Simbisa Strengthen,rb,McKurry,2020,-0.6,0.5
326,Desire,rb,Zen Adler,2020,-0.7,-0.3
327,Number One,rb,Keke Palmer,2016,-0.7,-0.3
328,All Night Long,rb,Robin Thicke,2006,0.3,0.7
329,Love A God,rb,Nefertitti Avani,2021,-0.6,0.5
330,Ghideon,rb,Witch Prophet,2020,-0.7,0.6
331,Hypnotized,rb,Justine Skye,2021,-0.6,0.7
332,Who Told You That,rb,Mavis Staples,2017,-0.6,0.5
333,Gone,rb,Brendan Morris,2015,-0.7,-0.3
334,Oshepete,rb,Mayorkun,2018,0.7,0.9
335,That Thing,rb,Cherokee Monique,2017,-0.3,-0.7
336,Take Control Ride On Me Riddim,rb,EshcoNinco,2015,0.3,0.7
337,Boss Ryan Hemsworth Remix,rb,Tinashe,2018,-0.6,0.7
338,Together,rb,Tshego,2019,-0.4,0.7
339,Sinned,rb,Foreighn,2019,-0.7,0.6
340,Eve Interlude,rb,Jamila Woods,2017,0.9,-0.2
341,If Only You Knew,rb,Richard Jansen,2018,-0.7,-0.3
342,Sometimes,rb,Eric Bellinger,2016,0.1,-0.7
343,Give Me a Chance,rb,Hish,2019,0.3,0.7
344,How Will I Know The Voice Performance,rb,Wendy Moten,2021,-0.8,-0.3
345,Sorry Bout Dat,rb,Syl Johnson,1968,-0.3,-0.7
346,Losing,rb,Dominique Gorley,2021,-0.7,0.6
347,Jenny,rb,Morgan James,2017,-0.8,-0.3
348,You Made Me See,rb,Stefanie Heinzmann,2012,0.8,-0.5
349,Bantu Knots and Boudain,rb,Nicotine,2017,-0.7,-0.3
350,Champagne,rb,BJ the Chicago Kid,2019,0.6,-0.4
351,New Home,rb,Rekswav,2019,-0.8,-0.5
352,Dont Pretend,rb,Faye Meana,2017,-0.7,-0.3
353,Now Vs Then,rb,Daniel Jacob Cox,2020,-0.7,0.6
354,Drug,rb,SLAE,2019,0.3,0.7
355,Feels So Much Better,rb,Johnny Gill,1990,0.2,1.0
356,Man on the Moon,rb,Dom the Composer,2019,-0.8,-0.5
357,Everything I Give,rb,Mason Monroe,2017,0.3,0.7
358,One Love,rb,Gospel Hydration,2018,0.6,-0.4
359,Medicine Remix,rb,Sonta,2018,-0.7,0.6
360,Minetta Creek,rb,Blood Orange,2018,-0.8,-0.5
361,Yin or Yang,rb,Drew Kennett,2018,-0.6,0.5
362,Letter Bound,rb,Son Little,2017,0.7,0.9
363,Coma,rb,BKTHERULA,2017,-0.8,-0.1
364,Capture the Moon,rb,Champaign,1984,0.8,-0.5
