,title,tag,artist,year,x_coordinate,y_coordinate
600,Goons of Hazzard,rock,Dead Kennedys,1985,-0.4,0.7
601,Summertime Blues Royal Albert Hall,rock,The Who,2003,-0.8,-0.3
602,I Call My Pain by Your Name,rock,Ellen Foley,2021,-0.7,0.6
603,And the Healing Has Begun,rock,Van Morrison,1979,0.7,0.6
604,Tiny Screens,rock,Summerhead,2021,-0.8,-0.5
605,Shirley,rock,Sorrytown,2016,-0.8,-0.3
606,Making You Cry live Chicago 2008,rock,Ben Weasel,2009,0.1,-0.7
607,Beautiful Feeling Pt. 3,rock,Rich Kids On LSD,1994,-0.3,-0.7
608,That Side of Me,rock,12v Negative Earth,2004,-0.4,0.7
609,My Ex,rock,Nacho Gomez Cao,2020,-0.8,-0.1
610,Things Gonna Change Some,rock,Sugarloaf,1970,-0.3,-0.7
611,Cant fool me,rock,Apple Sweet Apple,2017,-0.6,0.5
612,Borstal Breakout,rock,Street Dogs,2003,-0.2,0.7
613,Kate  Cindy,rock,The Scaramanga Six,2021,-0.7,0.6
614,Behold the Tyrants Fall,rock,Chronolyth,2013,-0.6,0.7
615,Where The Wild Things Arent,rock,Dani Lee Pearce,2019,0.9,-0.2
616,See Spot Run,rock,Harborer,2020,-0.8,-0.5
617,UnbreakableTruth to Power EP,rock,Insolence,2020,-0.4,0.7
618,The Man Im Not,rock,Noah Dillon,2020,-0.3,-0.7
619,You Have Flaws,rock,"Captain, We're Sinking",2013,-0.8,-0.3
620,Rebels Out There,rock,Smiley & The Underclass,2019,-0.4,0.7
621,Supermarket Lobster Tank,rock,Dillon M.,2018,0.8,-0.5
622,Happy with What You Have to Be Happy With,rock,King Crimson,2002,-0.7,-0.7
623,Love Love Love,rock,John Prine,1986,-0.8,-0.5
624,We’re Not the Same,rock,Enjoy The View,2010,-0.7,-0.3
625,Those Were the Days,rock,Old 97's,2017,0.7,0.6
626,Ten Past Two,rock,The Roster,2019,0.2,1.0
627,Its In You,rock,The Who,1997,0.3,0.7
628,Sender/Reciever,rock,Sosaveme,2011,0.6,-0.4
629,Meropes Song,rock,Lena Gabrielle,2008,-0.8,-0.1
630,Shut Up,rock,blink-182,2001,-0.6,0.5
631,Fall in the Ocean,rock,House Ghost,2016,-0.3,-0.7
632,Jet Black Heart,rock,Arrows To Athens,2016,-0.8,-0.3
633,Pilgrims,rock,No-No Boy,2021,0.9,-0.2
634,Second Sight,rock,Harrow,1996,-0.7,0.6
635,What’s Love Got to Do with It,rock,Tina Turner,1984,-0.4,0.7
636,Death Prize,rock,Deficit (AU),2021,-0.6,0.7
637,Mirrorful,rock,Jawbox,1996,-0.6,0.5
638,Doubts,rock,Painting Promises,2019,-0.8,-0.1
639,Revolution Coming,rock,Red Mesa,2014,-0.4,0.7
640,Whenever Im Alone,rock,We Are Waves,2014,-0.4,0.7
641,Kill Somebody Unplugged,rock,YUNGBLUD,2018,-0.6,0.7
642,3 Legs,rock,Paul McCartney,1971,-0.7,0.6
643,Touch the Razor,rock,Hangman's Chair,2018,-0.8,-0.3
644,Everybody Bonus Track,rock,Stabilo,2006,-0.6,0.5
645,Keep Me,rock,Imminence,2017,-0.8,-0.1
646,Flesh of Fallen Angels,rock,Amaros,2017,-0.8,-0.5
647,Honor Never Dies,rock,Hatebreed,2013,0.7,0.9
648,Dont Be Shy Him,rock,Kelly Carter,2022,0.3,0.7
649,Stop,rock,The Summer Kills,2018,-0.7,0.6
650,Pink Lakes,rock,Solanas,2015,-0.3,-0.7
651,First Day of Spring,rock,Graham Parker,1995,0.9,-0.2
652,One Man Show,rock,30db,2010,-0.7,-0.3
653,Murderboy,rock,Finding Aureus,2021,-0.6,0.7
654,Turn It Up,rock,Ashland,2017,0.7,0.9
655,Take the Edge Off,rock,Lionize,2006,0.8,-0.5
656,Beauty Meets Beast,rock,Morbid Angel,2011,0.3,0.7
657,Backwash,rock,Deadlights (Post-Hardcore),2017,-0.6,0.5
658,Think,rock,Freshly Wrapped Candies,1989,0.6,-0.4
659,Altered Beast I,rock,King Gizzard & The Lizard Wizard,2017,-0.4,0.7
660,M.S. Bismarck,rock,Asphyx,1992,-0.4,0.7
661,The Waves,rock,Bjrn Riis,2017,-0.8,-0.1
662,Mile Away,rock,Allison Crutchfield,2017,-0.6,0.5
663,Ode To Rose,rock,CODA FACTO,2021,-0.7,0.6
664,Hampden Cabs,rock,The Dunts,2017,-0.7,-0.7
665,Faded Memory,rock,Skarlett Riot,2013,-0.8,-0.3
666,They Were Wrong,rock,The Dogs (Norway),2016,-0.3,-0.7
667,Rise With the Fallen Ones,rock,Cerberus (Band),2019,-0.6,0.7
668,Tempo,rock,Ray Charles,2000,0.7,0.9
669,Placeholder,rock,Secondsun,2020,-0.6,0.7
670,Frolic Room,rock,311,2006,-0.8,-0.5
671,Here Comes Sally,rock,Glen Burtnik,1987,0.9,-0.2
672,Blue Hazy Highs,rock,Django Django,2018,-0.3,-0.7
673,Memory,rock,Pat Symington,2021,-0.7,-0.3
674,The Fall,rock,Gojira,2012,-0.8,-0.3
