,Unnamed: 0,title,tag,artist,year,x_coordinate,y_coordinate
0,0,Relax,rap,Rich Amiri,2022,-0.4,0.7
1,1,Extra,rap,Lil Calorie,2020,-0.8,-0.3
2,2,The Most Fun,rap,Safaree,2015,0.7,0.9
5,5,That Bird,rap,Young Mugz,2016,-0.2,0.7
6,6,Keep It Real Remix,rap,Miilkbone,1995,-0.4,0.7
10,10,Lions and Tigers and Bears,rap,Hiesse,2019,-0.6,0.7
11,11,Diss on my sis,rap,Dj hughes,2019,-0.6,0.7
12,12,King me,rap,King_isaiahhh,2015,-0.4,0.7
13,13,Insta Dreams,rap,Nightingale_RUS,2019,-0.7,-0.7
14,14,SHUT UP,rap,JAYKakashi,2020,-0.6,0.7
16,16,Hanh,rap,Dot Dot Curve,2008,-0.6,0.7
20,20,Gun Emoji Bang,rap,Gensu Dean & Denmark Vessey,2018,-0.6,0.5
21,21,BUDDAH ARMS,rap,Thouxanbanfauni,2022,-0.7,0.3
23,23,Lasting,rap,DAJ,2018,0.3,0.7
24,24,No Offence,rap,Tobbz,2019,-0.6,0.5
26,26,In The Field Again,rap,FORTYTEN,2019,0.7,0.9
27,27,Exodia,rap,Tori2x,2022,-0.4,0.7
28,28,Joy to the World,rap,Shama Mrema & PD Bachmann,2019,0.9,-0.2
29,29,​​thelifestyle,rap,Eli juggz,2021,0.9,0.6
30,30,Ratchita,rap,Ty-Mitch,2020,0.3,0.7
31,31,Backseat Freestyle,rap,DJ Critical Hype,2018,0.3,0.7
33,33,Sewed Up,rap,Q Da Fool,2018,-0.4,0.6
37,37,Untitled feat. Yung Kayo,rap,KILLY,2019,0.9,-0.2
38,38,The Marijuana Song,rap,A.K.Nash,2016,0.3,0.7
39,39,Space,rap,Asher Roth,2012,-0.7,-0.7
40,40,Tales Of Women,rap,Akua Naru,2012,-0.8,-0.3
42,42,Peppa.exe vs Sonic.exe,rap,Animation Rewind,2020,-0.6,0.7
45,45,Chopsticks,rap,Almighty Jay,2017,-0.4,0.7
46,46,Searle St Serenade,rap,D'Meetri,2019,-0.7,0.3
51,51,Kings Bread,rap,Yung cash register aka lil broomstick,2018,-0.4,0.7
53,53,Shining,rap,Movvy,2020,-0.8,-0.5
54,54,Collapse,rap,HeyMrNoOdLeS,2019,-0.8,-0.3
55,55,Monster,rap,D-Lo116,2021,-0.2,0.7
56,56,Spacing,rap,Gidii,2019,-0.7,-0.3
57,57,This Cant Be Happening Intro,rap,Us3rn4mee,2021,-0.8,-0.1
58,58,Dolce  Gabbana,rap,PD,2021,0.7,0.9
60,60,Windmill Cancer Survivor,rap,Beans,2019,0.7,0.6
61,61,Monkey Ish,rap,Stalley,2014,-0.6,0.5
62,62,Fight Or Win Single,rap,Kimo's,2020,-0.6,0.7
63,63,Double Up,rap,Sylence 100,2020,0.7,0.9
64,64,Up,rap,Yung Mavu,2020,0.3,0.7
66,66,Intro Skit,rap,Lil Oli,2021,-0.8,-0.3
70,70,The Brink,rap,Nate Nics,2021,-0.6,0.5
72,72,A Lot,rap,Brazen-Faced,2020,-0.4,0.7
73,73,ENDZ,rap,BLV CLOVDS,2020,-0.7,0.6
79,79,Stop Playing,rap,Blaze Coleman,2018,-0.6,0.5
81,81,White barz,rap,Peter Sorensen,2013,-0.6,0.5
82,82,Big Blanco,rap,Tu Blanco,2020,0.3,0.7
84,84,Ima Ball,rap,Kalan.FrFr.,2021,0.7,0.9
85,85,Drako  vs undead_slayer,rap,Dr@k01387,2019,-0.6,0.7
87,87,203,rap,MI$FIT NIZZY,2018,0.7,0.9
88,88,Heartfelt,rap,Roney,2020,-0.7,0.3
90,90,Ghost Stories Part 1,rap,Styles P,2005,-0.2,0.7
91,91,Inalude,rap,Sica,2021,0.8,-0.5
92,92,Trouble,rap,Sheperd,2017,-0.6,0.7
93,93,Private Party,rap,Arhinslim,2020,-0.6,0.5
94,94,Food Trucks,rap,T-K.A.S.H.,2017,-0.6,0.7
96,96,Mrs. Lynch Your Son Is The Devil,rap,IDK,2017,-0.7,-0.3
98,98,ZEALOT,rap,Sonya June,2019,-0.6,0.7
99,99,Tha Bachelor,rap,POP STUNNA,2021,0.3,0.7
100,100,138,rap,Tnb clipper,2021,-0.6,0.5
101,101,The christmas rap,rap,Pye green valley,2012,0.6,-0.4
102,102,IMPURITY,rap,Sai (@off.sai),2020,-0.4,0.7
104,104,Kasies Vibe,rap,Kasie,2020,-0.6,0.5
105,105,Bugs Bunny Flow,rap,SBL Jeremiah,2021,0.3,0.7
108,108,Foxys Bells,rap,Foxy Brown,1996,0.7,0.9
111,111,Hot Dog,rap,SHUG,2018,0.3,0.7
113,113,CELEBRATE LIFE,rap,"Charlie Heat, DRAM & Ant Beale",2018,0.7,0.6
114,114,Gods Gift,rap,Orakana,2022,0.3,0.7
115,115,Molotov,rap,GXNER.,2021,-0.2,0.7
117,117,U Gon Miss It,rap,Thugga Massina,2014,-0.6,0.7
119,119,Now What,rap,K-Rino,2012,-0.7,0.3
120,120,16 Bar Freestyle,rap,AYungXhulooo,2018,-0.4,0.7
122,122,Big Los,rap,Nino Brown (USA),2011,-0.6,0.7
124,124,Swipe,rap,Weiland,2022,-0.6,0.7
128,128,Pootie,rap,Jesuslovemike,2021,0.3,0.7
130,130,UnHoly Angel,rap,C-Money,2021,-0.6,0.7
131,131,TENS,rap,Boybrat ft bakardi,2019,0.3,0.7
132,132,Fade,rap,JINX (jr.),2018,-0.7,-0.7
133,133,Celo,rap,LocoCity,2019,-0.2,0.7
135,135,O.T.S Now You Bout It,rap,Rotimi A,2014,0.9,-0.2
136,136,Im a reject,rap,Tempvra,2017,-0.6,0.7
137,137,Get It Right Now,rap,Del The Funky Homosapien,2009,-0.6,0.5
138,138,Humping,rap,Pablo M.,2013,0.3,0.7
143,143,Baby Dont Go,rap,Fabolous,2007,-0.3,-0.7
146,146,Old.Person.Syndrome.O.P.S.,rap,Sinderella Mann,2020,-0.6,0.5
149,149,Wax and Herbal T get FUNKYFRESH,rap,Wax & Herbal T,2022,0.7,0.9
151,151,Awesome Remix,rap,Prezidential Candidates,2011,0.7,0.6
154,154,Fed Up,rap,Bounty Killer,1996,-0.4,0.7
155,155,Nightim6,rap,666laughter,2021,0.3,0.7
156,156,Forever,rap,Melvin boy x Pablo,2015,0.3,0.7
158,158,Sole,rap,Vandalyzm,2010,0.9,-0.2
160,161,This Christmas,rap,No Genre,2016,0.3,0.7
164,165,Sega Police,rap,Charles Hamilton,2013,0.7,0.9
165,166,Feel Like Dyin,rap,DirtBoys,2018,-0.4,0.7
166,167,KODO BOOGIE,rap,T-Time,2015,0.7,0.6
168,169,Everything BoZ,rap,Trippie Redd,2019,-0.2,0.7
172,173,Buckets,rap,Abhi,2018,-0.4,0.7
173,174,Better Together,rap,Niq,2021,-0.4,0.7
174,175,Fraud,rap,Sethii Shmactt,2018,-0.6,0.7
178,179,Decline,rap,Chiddy Bang,2009,0.7,0.9
180,181,Dreams,rap,Lil Freaky,2017,-0.6,0.7
183,184,Boomer Humor,rap,Ojmosfhgry,2019,-0.6,0.5
187,188,Ozzie Ostrich Sings A Song,rap,Aaron Fraser-Nash,2021,-0.4,0.7
190,191,Big Afrika,rap,Innoss'B,2013,0.7,0.6
191,192,Fever Timothy Is Everywhere,rap,Dizraeli,2019,-0.2,0.7
195,196,Triumphal Arch,rap,BabyLee,2013,0.7,0.9
196,197,1 OClock Jump,rap,Stevie Stone,2013,-0.4,0.7
