song_id,artist,title,year,tag
1,Rich Amiri,Relax,2022,rap
2,Lil Calorie,Extra,2020,rap
3,Safaree,The Most Fun,2015,rap
4,Vanilla Taurus,California,2018,rap
5,ProduceKyro,Free Thinking,2021,rap
6,Young Mugz,That Bird,2016,rap
7,Miilkbone,Keep It Real Remix,1995,rap
8,Dashboard Danny,Dolla Signs and Palm Trees,2021,rap
9,Hailey B,You,2016,rap
10,SCTHECARDINAL,ISSA FUNERAL,2017,rap
11,Hiesse,Lions and Tigers and Bears,2019,rap
12,Dj hughes,Diss on my sis,2019,rap
13,King_isaiahhh,King me,2015,rap
14,Nightingale_RUS,Insta Dreams,2019,rap
15,JAYKakashi,SHUT UP,2020,rap
16,Shabazz the Disciple,Ghetto Apostles,1998,rap
17,Dot Dot Curve,Hanh,2008,rap
18,The Funk Hunters & Chali 2na,Word to Spread,2016,rap
19,Sami-Kaie,Growth,2019,rap
20,PrxdDaGxd,DROPTHESAUCE,2017,rap
21,Gensu Dean & Denmark Vessey,Gun Emoji Bang,2018,rap
22,Thouxanbanfauni,BUDDAH ARMS,2022,rap
23,Majoraeclipse,Graduation333,2021,rap
24,DAJ,Lasting,2018,rap
25,Tobbz,No Offence,2019,rap
26,Young Social,1994 Freestyle,2016,rap
27,FORTYTEN,In The Field Again,2019,rap
28,Tori2x,Exodia,2022,rap
29,Shama Mrema & PD Bachmann,Joy to the World,2019,rap
30,Eli juggz,​​thelifestyle,2021,rap
31,Ty-Mitch,Ratchita,2020,rap
32,DJ Critical Hype,Backseat Freestyle,2018,rap
33,J. Cole,102.1 Jamz Freestyle,2009,rap
34,Q Da Fool,Sewed Up,2018,rap
35,BrvndonP & Mission,Where You Been,2017,rap
36,Parsa,Life is Beautiful,2019,rap
37,Skr1ter,Used To,2020,rap
38,KILLY,Untitled feat. Yung Kayo,2019,rap
39,A.K.Nash,The Marijuana Song,2016,rap
40,Asher Roth,Space,2012,rap
41,Akua Naru,Tales Of Women,2012,rap
42,William Pippins,Gods Will,2018,rap
43,Animation Rewind,Peppa.exe vs Sonic.exe,2020,rap
44,303BAM,Stormy Weather,2021,rap
45,Soulja Boy,What You Know,2009,rap
46,Almighty Jay,Chopsticks,2017,rap
47,D'Meetri,Searle St Serenade,2019,rap
48,Figure Flows,Like You,2017,rap
49,Lil' Mo,21 Answers,2013,rap
50,Triple A,Fake Me,2018,rap
51,Toddi,Mindframe,2017,rap
52,Yung cash register aka lil broomstick,Kings Bread,2018,rap
53,Vojtech Cekal,Astronaut In The Ocean Remix,2021,rap
54,Movvy,Shining,2020,rap
55,HeyMrNoOdLeS,Collapse,2019,rap
56,D-Lo116,Monster,2021,rap
57,Gidii,Spacing,2019,rap
58,Us3rn4mee,This Cant Be Happening Intro,2021,rap
59,PD,Dolce  Gabbana,2021,rap
60,Lord Jamar,The Cipher,2006,rap
61,Beans,Windmill Cancer Survivor,2019,rap
62,Stalley,Monkey Ish,2014,rap
63,Kimo's,Fight Or Win Single,2020,rap
64,Sylence 100,Double Up,2020,rap
65,Yung Mavu,Up,2020,rap
66,Lil Skittles,VVS Remix,2019,rap
67,Lil Oli,Intro Skit,2021,rap
68,BabyDaiz,NINA SIMONE,2021,rap
69,Barry Allen,Too Much,2016,rap
70,"Young Stoner Life, Young Thug & Gunna",Paid the Fine,2021,rap
71,Nate Nics,The Brink,2021,rap
72,Lord Stunnah,Uptown Interlude,2018,rap
73,Brazen-Faced,A Lot,2020,rap
74,BLV CLOVDS,ENDZ,2020,rap
75,Skoobers,Ode2edith,2020,rap
76,Zoocci Coke Dope,Stamina,2017,rap
77,P-Tree,What Is Understood,2021,rap
78,Lil Karat Stixx,Got It,2020,rap
79,DopeSMOOTHIES,Drugz,2020,rap
80,Blaze Coleman,Stop Playing,2018,rap
81,Kill The Vultures,Last Time,2015,rap
82,Peter Sorensen,White barz,2013,rap
83,Tu Blanco,Big Blanco,2020,rap
84,Ghwttogabe,My Lifes Rapture,2020,rap
85,Kalan.FrFr.,Ima Ball,2021,rap
86,Dr@k01387,Drako  vs undead_slayer,2019,rap
87,Matthew Collis,Wanting more,2018,rap
88,MI$FIT NIZZY,203,2018,rap
89,Roney,Heartfelt,2020,rap
90,Silas,Soul,2021,rap
91,Styles P,Ghost Stories Part 1,2005,rap
92,Sica,Inalude,2021,rap
93,Sheperd,Trouble,2017,rap
94,Arhinslim,Private Party,2020,rap
95,T-K.A.S.H.,Food Trucks,2017,rap
96,Kosh,Old Skool,2018,rap
97,IDK,Mrs. Lynch Your Son Is The Devil,2017,rap
98,Clover,Not Having It,2019,rap
99,Sonya June,ZEALOT,2019,rap
100,POP STUNNA,Tha Bachelor,2021,rap
101,Tnb clipper,138,2021,rap
